Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Electricity demand [MW]
2014-12-31 23:00:00,0,3,1,2015,9992.0
2015-01-01 00:00:00,1,3,1,2015,9552.0
2015-01-01 01:00:00,2,3,1,2015,9151.75
2015-01-01 02:00:00,3,3,1,2015,8798.5
2015-01-01 03:00:00,4,3,1,2015,8567.0
2015-01-01 04:00:00,5,3,1,2015,8487.5
2015-01-01 05:00:00,6,3,1,2015,8428.5
2015-01-01 06:00:00,7,3,1,2015,8122.5
2015-01-01 07:00:00,8,3,1,2015,8179.25
2015-01-01 08:00:00,9,3,1,2015,8339.5
2015-01-01 09:00:00,10,3,1,2015,8677.5
2015-01-01 10:00:00,11,3,1,2015,8898.75
2015-01-01 11:00:00,12,3,1,2015,9092.25
2015-01-01 12:00:00,13,3,1,2015,9088.0
2015-01-01 13:00:00,14,3,1,2015,8940.25
2015-01-01 14:00:00,15,3,1,2015,8919.5
2015-01-01 15:00:00,16,3,1,2015,9016.75
2015-01-01 16:00:00,17,3,1,2015,9664.25
2015-01-01 17:00:00,18,3,1,2015,9914.25
2015-01-01 18:00:00,19,3,1,2015,9852.25
2015-01-01 19:00:00,20,3,1,2015,9573.25
2015-01-01 20:00:00,21,3,1,2015,9421.75
2015-01-01 21:00:00,22,3,1,2015,9896.25
2015-01-01 22:00:00,23,3,1,2015,10061.75
2015-01-01 23:00:00,0,4,1,2015,9489.0
2015-01-02 00:00:00,1,4,1,2015,9001.5
2015-01-02 01:00:00,2,4,1,2015,8571.25
2015-01-02 02:00:00,3,4,1,2015,8321.0
2015-01-02 03:00:00,4,4,1,2015,8276.75
2015-01-02 04:00:00,5,4,1,2015,8516.75
2015-01-02 05:00:00,6,4,1,2015,8999.75
2015-01-02 06:00:00,7,4,1,2015,9226.5
2015-01-02 07:00:00,8,4,1,2015,9768.75
2015-01-02 08:00:00,9,4,1,2015,10243.5
2015-01-02 09:00:00,10,4,1,2015,10556.5
2015-01-02 10:00:00,11,4,1,2015,10780.75
2015-01-02 11:00:00,12,4,1,2015,10770.0
2015-01-02 12:00:00,13,4,1,2015,10605.75
2015-01-02 13:00:00,14,4,1,2015,10320.0
2015-01-02 14:00:00,15,4,1,2015,10225.5
2015-01-02 15:00:00,16,4,1,2015,10394.5
2015-01-02 16:00:00,17,4,1,2015,11211.75
2015-01-02 17:00:00,18,4,1,2015,11429.0
2015-01-02 18:00:00,19,4,1,2015,11056.75
2015-01-02 19:00:00,20,4,1,2015,10516.0
2015-01-02 20:00:00,21,4,1,2015,9993.25
2015-01-02 21:00:00,22,4,1,2015,10362.5
2015-01-02 22:00:00,23,4,1,2015,10440.0
