Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Electricity demand [MW]
2014-12-31 23:00:00,0,3,1,2015,3286.0
2015-01-01 00:00:00,1,3,1,2015,3211.0
2015-01-01 01:00:00,2,3,1,2015,3100.0
2015-01-01 02:00:00,3,3,1,2015,2980.0
2015-01-01 03:00:00,4,3,1,2015,2933.0
2015-01-01 04:00:00,5,3,1,2015,2942.0
2015-01-01 05:00:00,6,3,1,2015,3000.0
2015-01-01 06:00:00,7,3,1,2015,3177.0
2015-01-01 07:00:00,8,3,1,2015,3292.0
2015-01-01 08:00:00,9,3,1,2015,3379.0
2015-01-01 09:00:00,10,3,1,2015,3563.0
2015-01-01 10:00:00,11,3,1,2015,3736.0
2015-01-01 11:00:00,12,3,1,2015,3838.0
2015-01-01 12:00:00,13,3,1,2015,3878.0
2015-01-01 13:00:00,14,3,1,2015,3856.0
2015-01-01 14:00:00,15,3,1,2015,3985.0
2015-01-01 15:00:00,16,3,1,2015,4262.0
2015-01-01 16:00:00,17,3,1,2015,4496.0
2015-01-01 17:00:00,18,3,1,2015,4492.0
2015-01-01 18:00:00,19,3,1,2015,4291.0
2015-01-01 19:00:00,20,3,1,2015,4048.0
2015-01-01 20:00:00,21,3,1,2015,3857.0
2015-01-01 21:00:00,22,3,1,2015,3588.0
2015-01-01 22:00:00,23,3,1,2015,3413.0
2015-01-01 23:00:00,0,4,1,2015,3212.0
2015-01-02 00:00:00,1,4,1,2015,2996.0
2015-01-02 01:00:00,2,4,1,2015,2943.0
2015-01-02 02:00:00,3,4,1,2015,2944.0
2015-01-02 03:00:00,4,4,1,2015,3019.0
2015-01-02 04:00:00,5,4,1,2015,3104.0
2015-01-02 05:00:00,6,4,1,2015,3524.0
2015-01-02 06:00:00,7,4,1,2015,3869.0
2015-01-02 07:00:00,8,4,1,2015,4191.0
2015-01-02 08:00:00,9,4,1,2015,4337.0
2015-01-02 09:00:00,10,4,1,2015,4516.0
2015-01-02 10:00:00,11,4,1,2015,4523.0
2015-01-02 11:00:00,12,4,1,2015,4474.0
2015-01-02 12:00:00,13,4,1,2015,4449.0
2015-01-02 13:00:00,14,4,1,2015,4396.0
2015-01-02 14:00:00,15,4,1,2015,4430.0
2015-01-02 15:00:00,16,4,1,2015,4741.0
2015-01-02 16:00:00,17,4,1,2015,5179.0
2015-01-02 17:00:00,18,4,1,2015,5091.0
2015-01-02 18:00:00,19,4,1,2015,4726.0
2015-01-02 19:00:00,20,4,1,2015,4319.0
2015-01-02 20:00:00,21,4,1,2015,4132.0
2015-01-02 21:00:00,22,4,1,2015,3824.0
2015-01-02 22:00:00,23,4,1,2015,3531.0
2015-01-02 23:00:00,0,5,1,2015,3392.0
2015-01-03 00:00:00,1,5,1,2015,3278.0
2015-01-03 01:00:00,2,5,1,2015,3117.0
2015-01-03 02:00:00,3,5,1,2015,3041.0
2015-01-03 03:00:00,4,5,1,2015,3016.0
2015-01-03 04:00:00,5,5,1,2015,3078.0
2015-01-03 05:00:00,6,5,1,2015,3322.0
2015-01-03 06:00:00,7,5,1,2015,3636.0
2015-01-03 07:00:00,8,5,1,2015,3889.0
2015-01-03 08:00:00,9,5,1,2015,4062.0
2015-01-03 09:00:00,10,5,1,2015,4177.0
2015-01-03 10:00:00,11,5,1,2015,4137.0
2015-01-03 11:00:00,12,5,1,2015,4074.0
2015-01-03 12:00:00,13,5,1,2015,4048.0
2015-01-03 13:00:00,14,5,1,2015,3987.0
2015-01-03 14:00:00,15,5,1,2015,3968.0
2015-01-03 15:00:00,16,5,1,2015,4338.0
2015-01-03 16:00:00,17,5,1,2015,4826.0
2015-01-03 17:00:00,18,5,1,2015,4752.0
2015-01-03 18:00:00,19,5,1,2015,4326.0
2015-01-03 19:00:00,20,5,1,2015,4048.0
2015-01-03 20:00:00,21,5,1,2015,3793.0
2015-01-03 21:00:00,22,5,1,2015,3571.0
2015-01-03 22:00:00,23,5,1,2015,3378.0
2015-01-03 23:00:00,0,6,1,2015,3186.0
2015-01-04 00:00:00,1,6,1,2015,3058.0
2015-01-04 01:00:00,2,6,1,2015,2964.0
2015-01-04 02:00:00,3,6,1,2015,2949.0
2015-01-04 03:00:00,4,6,1,2015,2961.0
2015-01-04 04:00:00,5,6,1,2015,2978.0
2015-01-04 05:00:00,6,6,1,2015,3115.0
2015-01-04 06:00:00,7,6,1,2015,3344.0
2015-01-04 07:00:00,8,6,1,2015,3643.0
2015-01-04 08:00:00,9,6,1,2015,3897.0
2015-01-04 09:00:00,10,6,1,2015,4043.0
2015-01-04 10:00:00,11,6,1,2015,4105.0
2015-01-04 11:00:00,12,6,1,2015,4035.0
2015-01-04 12:00:00,13,6,1,2015,3959.0
2015-01-04 13:00:00,14,6,1,2015,3921.0
2015-01-04 14:00:00,15,6,1,2015,3974.0
2015-01-04 15:00:00,16,6,1,2015,4453.0
2015-01-04 16:00:00,17,6,1,2015,4940.0
2015-01-04 17:00:00,18,6,1,2015,4816.0
2015-01-04 18:00:00,19,6,1,2015,4470.0
2015-01-04 19:00:00,20,6,1,2015,4139.0
2015-01-04 20:00:00,21,6,1,2015,3910.0
2015-01-04 21:00:00,22,6,1,2015,3512.0
2015-01-04 22:00:00,23,6,1,2015,3348.0
2015-01-04 23:00:00,0,0,1,2015,3190.0
2015-01-05 00:00:00,1,0,1,2015,3080.0
2015-01-05 01:00:00,2,0,1,2015,2974.0
2015-01-05 02:00:00,3,0,1,2015,2945.0
2015-01-05 03:00:00,4,0,1,2015,3001.0
2015-01-05 04:00:00,5,0,1,2015,3311.0
2015-01-05 05:00:00,6,0,1,2015,4047.0
2015-01-05 06:00:00,7,0,1,2015,4814.0
2015-01-05 07:00:00,8,0,1,2015,5048.0
2015-01-05 08:00:00,9,0,1,2015,5088.0
2015-01-05 09:00:00,10,0,1,2015,5145.0
2015-01-05 10:00:00,11,0,1,2015,5104.0
2015-01-05 11:00:00,12,0,1,2015,5022.0
2015-01-05 12:00:00,13,0,1,2015,5024.0
2015-01-05 13:00:00,14,0,1,2015,4986.0
2015-01-05 14:00:00,15,0,1,2015,4913.0
2015-01-05 15:00:00,16,0,1,2015,5149.0
2015-01-05 16:00:00,17,0,1,2015,5525.0
2015-01-05 17:00:00,18,0,1,2015,5257.0
2015-01-05 18:00:00,19,0,1,2015,4904.0
2015-01-05 19:00:00,20,0,1,2015,4558.0
2015-01-05 20:00:00,21,0,1,2015,4231.0
2015-01-05 21:00:00,22,0,1,2015,3850.0
2015-01-05 22:00:00,23,0,1,2015,3486.0
2015-01-05 23:00:00,0,1,1,2015,3250.0
2015-01-06 00:00:00,1,1,1,2015,3138.0
2015-01-06 01:00:00,2,1,1,2015,3102.0
2015-01-06 02:00:00,3,1,1,2015,3088.0
2015-01-06 03:00:00,4,1,1,2015,3168.0
2015-01-06 04:00:00,5,1,1,2015,3426.0
2015-01-06 05:00:00,6,1,1,2015,4117.0
2015-01-06 06:00:00,7,1,1,2015,4892.0
2015-01-06 07:00:00,8,1,1,2015,5165.0
