Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Electricity demand [MW]
2014-12-31 23:00:00,0,3,1,2015,9794.0
2015-01-01 00:00:00,1,3,1,2015,9456.0
2015-01-01 01:00:00,2,3,1,2015,8956.75
2015-01-01 02:00:00,3,3,1,2015,8461.5
2015-01-01 03:00:00,4,3,1,2015,8156.0
2015-01-01 04:00:00,5,3,1,2015,8126.0
2015-01-01 05:00:00,6,3,1,2015,8291.75
2015-01-01 06:00:00,7,3,1,2015,8638.25
2015-01-01 07:00:00,8,3,1,2015,8927.25
2015-01-01 08:00:00,9,3,1,2015,9312.5
2015-01-01 09:00:00,10,3,1,2015,9933.25
2015-01-01 10:00:00,11,3,1,2015,10432.0
2015-01-01 11:00:00,12,3,1,2015,11918.75
2015-01-01 12:00:00,13,3,1,2015,11951.25
2015-01-01 13:00:00,14,3,1,2015,12067.5
2015-01-01 14:00:00,15,3,1,2015,11829.0
2015-01-01 15:00:00,16,3,1,2015,12086.75
2015-01-01 16:00:00,17,3,1,2015,12683.0
2015-01-01 17:00:00,18,3,1,2015,12299.25
2015-01-01 18:00:00,19,3,1,2015,11716.5
2015-01-01 19:00:00,20,3,1,2015,11364.75
2015-01-01 20:00:00,21,3,1,2015,10878.25
2015-01-01 21:00:00,22,3,1,2015,10563.5
2015-01-01 22:00:00,23,3,1,2015,9823.75
2015-01-01 23:00:00,0,4,1,2015,8995.25
2015-01-02 00:00:00,1,4,1,2015,8302.75
2015-01-02 01:00:00,2,4,1,2015,7876.0
2015-01-02 02:00:00,3,4,1,2015,7700.25
2015-01-02 03:00:00,4,4,1,2015,7771.5
2015-01-02 04:00:00,5,4,1,2015,8254.5
2015-01-02 05:00:00,6,4,1,2015,9355.75
2015-01-02 06:00:00,7,4,1,2015,10990.25
2015-01-02 07:00:00,8,4,1,2015,12458.25
2015-01-02 08:00:00,9,4,1,2015,13445.5
2015-01-02 09:00:00,10,4,1,2015,14038.25
2015-01-02 10:00:00,11,4,1,2015,14021.5
2015-01-02 11:00:00,12,4,1,2015,13812.75
2015-01-02 12:00:00,13,4,1,2015,13566.0
2015-01-02 13:00:00,14,4,1,2015,13542.25
2015-01-02 14:00:00,15,4,1,2015,13899.25
2015-01-02 15:00:00,16,4,1,2015,14181.5
2015-01-02 16:00:00,17,4,1,2015,15086.25
2015-01-02 17:00:00,18,4,1,2015,14341.0
2015-01-02 18:00:00,19,4,1,2015,13904.0
2015-01-02 19:00:00,20,4,1,2015,13403.0
2015-01-02 20:00:00,21,4,1,2015,12632.0
2015-01-02 21:00:00,22,4,1,2015,11720.25
2015-01-02 22:00:00,23,4,1,2015,11179.5
2015-01-02 23:00:00,0,5,1,2015,10868.5
2015-01-03 00:00:00,1,5,1,2015,10500.5
2015-01-03 01:00:00,2,5,1,2015,10213.25
2015-01-03 02:00:00,3,5,1,2015,10046.5
2015-01-03 03:00:00,4,5,1,2015,9840.25
2015-01-03 04:00:00,5,5,1,2015,10137.25
2015-01-03 05:00:00,6,5,1,2015,10463.25
