Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Electricity demand [MW]
2014-12-31 23:00:00,0,3,1,2015,14706.0
2015-01-01 00:00:00,1,3,1,2015,14726.0
2015-01-01 01:00:00,2,3,1,2015,14485.0
2015-01-01 02:00:00,3,3,1,2015,14298.0
2015-01-01 03:00:00,4,3,1,2015,14249.0
2015-01-01 04:00:00,5,3,1,2015,14268.0
2015-01-01 05:00:00,6,3,1,2015,14655.0
2015-01-01 06:00:00,7,3,1,2015,14994.0
2015-01-01 07:00:00,8,3,1,2015,15163.0
2015-01-01 08:00:00,9,3,1,2015,15167.0
2015-01-01 09:00:00,10,3,1,2015,15670.0
2015-01-01 10:00:00,11,3,1,2015,16133.0
2015-01-01 11:00:00,12,3,1,2015,16178.0
2015-01-01 12:00:00,13,3,1,2015,16274.0
2015-01-01 13:00:00,14,3,1,2015,16531.0
2015-01-01 14:00:00,15,3,1,2015,17087.0
2015-01-01 15:00:00,16,3,1,2015,17514.0
2015-01-01 16:00:00,17,3,1,2015,17627.0
2015-01-01 17:00:00,18,3,1,2015,17432.0
2015-01-01 18:00:00,19,3,1,2015,16874.0
2015-01-01 19:00:00,20,3,1,2015,16457.0
2015-01-01 20:00:00,21,3,1,2015,15887.0
2015-01-01 21:00:00,22,3,1,2015,15251.0
2015-01-01 22:00:00,23,3,1,2015,14791.0
2015-01-01 23:00:00,0,4,1,2015,14199.0
2015-01-02 00:00:00,1,4,1,2015,13922.0
2015-01-02 01:00:00,2,4,1,2015,13647.0
2015-01-02 02:00:00,3,4,1,2015,13596.0
2015-01-02 03:00:00,4,4,1,2015,13798.0
2015-01-02 04:00:00,5,4,1,2015,14423.0
2015-01-02 05:00:00,6,4,1,2015,15552.0
2015-01-02 06:00:00,7,4,1,2015,16617.0
2015-01-02 07:00:00,8,4,1,2015,17172.0
2015-01-02 08:00:00,9,4,1,2015,17279.0
2015-01-02 09:00:00,10,4,1,2015,17515.0
2015-01-02 10:00:00,11,4,1,2015,17783.0
2015-01-02 11:00:00,12,4,1,2015,17808.0
2015-01-02 12:00:00,13,4,1,2015,17661.0
