Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Temperature (K),Monthly average temperature (K),Monthly average temperature rank,Annual average temperature (K),5 percentile temperature (K),95 percentile temperature (K)
2014-12-31 22:00:00,0,3,1,2015,260.78906,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2014-12-31 23:00:00,1,3,1,2015,260.37704,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-01 00:00:00,2,3,1,2015,260.0415,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-01 01:00:00,3,3,1,2015,259.28552,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-01 02:00:00,4,3,1,2015,259.1961,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-01 03:00:00,5,3,1,2015,258.96014,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-01 04:00:00,6,3,1,2015,258.4766,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-01 05:00:00,7,3,1,2015,258.0919,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-01 06:00:00,8,3,1,2015,259.32,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-01 07:00:00,9,3,1,2015,259.72174,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-01 08:00:00,10,3,1,2015,261.3239,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-01 09:00:00,11,3,1,2015,261.5916,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-01 10:00:00,12,3,1,2015,263.6333,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-01 11:00:00,13,3,1,2015,264.3081,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-01 12:00:00,14,3,1,2015,264.4939,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-01 13:00:00,15,3,1,2015,264.7827,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-01 14:00:00,16,3,1,2015,264.4458,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-01 15:00:00,17,3,1,2015,263.9077,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-01 16:00:00,18,3,1,2015,263.6394,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-01 17:00:00,19,3,1,2015,263.0631,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-01 18:00:00,20,3,1,2015,263.53003,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-01 19:00:00,21,3,1,2015,263.75424,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-01 20:00:00,22,3,1,2015,263.77222,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-01 21:00:00,23,3,1,2015,263.9758,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-01 22:00:00,0,4,1,2015,264.1303,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-01 23:00:00,1,4,1,2015,264.4844,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-02 00:00:00,2,4,1,2015,265.53888,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-02 01:00:00,3,4,1,2015,265.6664,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-02 02:00:00,4,4,1,2015,265.6977,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-02 03:00:00,5,4,1,2015,265.86038,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-02 04:00:00,6,4,1,2015,265.95212,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-02 05:00:00,7,4,1,2015,266.16794,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-02 06:00:00,8,4,1,2015,267.58264,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-02 07:00:00,9,4,1,2015,267.75034,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
2015-01-02 08:00:00,10,4,1,2015,268.24414,274.2027,12.0,286.29147,272.37445068359375,302.4100708007812
