Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Temperature (K),Monthly average temperature (K),Monthly average temperature rank,Annual average temperature (K),5 percentile temperature (K),95 percentile temperature (K)
2014-12-31 23:00:00,0,3,1,2015,268.16992,275.00238,11.0,283.67938,271.96746826171875,298.12626953125
2015-01-01 00:00:00,1,3,1,2015,268.24463,275.00238,11.0,283.67938,271.96746826171875,298.12626953125
2015-01-01 01:00:00,2,3,1,2015,268.28943,275.00238,11.0,283.67938,271.96746826171875,298.12626953125
2015-01-01 02:00:00,3,3,1,2015,268.48322,275.00238,11.0,283.67938,271.96746826171875,298.12626953125
2015-01-01 03:00:00,4,3,1,2015,268.45038,275.00238,11.0,283.67938,271.96746826171875,298.12626953125
2015-01-01 04:00:00,5,3,1,2015,268.19925,275.00238,11.0,283.67938,271.96746826171875,298.12626953125
2015-01-01 05:00:00,6,3,1,2015,267.8497,275.00238,11.0,283.67938,271.96746826171875,298.12626953125
2015-01-01 06:00:00,7,3,1,2015,267.8786,275.00238,11.0,283.67938,271.96746826171875,298.12626953125
2015-01-01 07:00:00,8,3,1,2015,267.79205,275.00238,11.0,283.67938,271.96746826171875,298.12626953125
2015-01-01 08:00:00,9,3,1,2015,268.20868,275.00238,11.0,283.67938,271.96746826171875,298.12626953125
2015-01-01 09:00:00,10,3,1,2015,268.54272,275.00238,11.0,283.67938,271.96746826171875,298.12626953125
2015-01-01 10:00:00,11,3,1,2015,269.95752,275.00238,11.0,283.67938,271.96746826171875,298.12626953125
2015-01-01 11:00:00,12,3,1,2015,270.7827,275.00238,11.0,283.67938,271.96746826171875,298.12626953125
2015-01-01 12:00:00,13,3,1,2015,270.92163,275.00238,11.0,283.67938,271.96746826171875,298.12626953125
2015-01-01 13:00:00,14,3,1,2015,271.40576,275.00238,11.0,283.67938,271.96746826171875,298.12626953125
2015-01-01 14:00:00,15,3,1,2015,270.78564,275.00238,11.0,283.67938,271.96746826171875,298.12626953125
2015-01-01 15:00:00,16,3,1,2015,270.32788,275.00238,11.0,283.67938,271.96746826171875,298.12626953125
2015-01-01 16:00:00,17,3,1,2015,269.93042,275.00238,11.0,283.67938,271.96746826171875,298.12626953125
2015-01-01 17:00:00,18,3,1,2015,269.73486,275.00238,11.0,283.67938,271.96746826171875,298.12626953125
2015-01-01 18:00:00,19,3,1,2015,269.3755,275.00238,11.0,283.67938,271.96746826171875,298.12626953125
2015-01-01 19:00:00,20,3,1,2015,269.61157,275.00238,11.0,283.67938,271.96746826171875,298.12626953125
2015-01-01 20:00:00,21,3,1,2015,269.09448,275.00238,11.0,283.67938,271.96746826171875,298.12626953125
2015-01-01 21:00:00,22,3,1,2015,268.5813,275.00238,11.0,283.67938,271.96746826171875,298.12626953125
2015-01-01 22:00:00,23,3,1,2015,267.96802,275.00238,11.0,283.67938,271.96746826171875,298.12626953125
