Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Temperature (K),Monthly average temperature (K),Monthly average temperature rank,Annual average temperature (K),5 percentile temperature (K),95 percentile temperature (K)
2014-12-31 22:00:00,0,3,1,2015,286.35938,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2014-12-31 23:00:00,1,3,1,2015,286.33398,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-01 00:00:00,2,3,1,2015,286.39502,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-01 01:00:00,3,3,1,2015,286.8911,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-01 02:00:00,4,3,1,2015,287.1726,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-01 03:00:00,5,3,1,2015,287.00903,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-01 04:00:00,6,3,1,2015,287.4375,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-01 05:00:00,7,3,1,2015,286.5586,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-01 06:00:00,8,3,1,2015,286.07397,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-01 07:00:00,9,3,1,2015,286.2588,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-01 08:00:00,10,3,1,2015,287.48804,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-01 09:00:00,11,3,1,2015,287.60522,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-01 10:00:00,12,3,1,2015,287.25073,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-01 11:00:00,13,3,1,2015,287.4995,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-01 12:00:00,14,3,1,2015,287.21265,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-01 13:00:00,15,3,1,2015,287.22217,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-01 14:00:00,16,3,1,2015,285.93994,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-01 15:00:00,17,3,1,2015,285.3318,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-01 16:00:00,18,3,1,2015,285.06934,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-01 17:00:00,19,3,1,2015,284.3855,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-01 18:00:00,20,3,1,2015,284.65894,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-01 19:00:00,21,3,1,2015,285.34204,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-01 20:00:00,22,3,1,2015,284.72925,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-01 21:00:00,23,3,1,2015,284.9524,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-01 22:00:00,0,4,1,2015,284.4331,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-01 23:00:00,1,4,1,2015,284.51172,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-02 00:00:00,2,4,1,2015,284.8064,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-02 01:00:00,3,4,1,2015,284.96338,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-02 02:00:00,4,4,1,2015,283.65454,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-02 03:00:00,5,4,1,2015,284.08496,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-02 04:00:00,6,4,1,2015,284.03784,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-02 05:00:00,7,4,1,2015,284.20898,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-02 06:00:00,8,4,1,2015,284.56128,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-02 07:00:00,9,4,1,2015,284.9143,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-02 08:00:00,10,4,1,2015,287.31445,284.3194,12.0,292.75845,283.090234375,303.4306884765625
2015-01-02 09:00:00,11,4,1,2015,287.38257,284.3194,12.0,292.75845,283.090234375,303.4306884765625
