Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Temperature (K),Monthly average temperature (K),Monthly average temperature rank,Annual average temperature (K),5 percentile temperature (K),95 percentile temperature (K)
2015-01-01 00:00:00,0,3,1,2015,277.74854,278.12463,11.0,284.34207,275.5273071289063,293.0095703125
2015-01-01 01:00:00,1,3,1,2015,278.28735,278.12463,11.0,284.34207,275.5273071289063,293.0095703125
2015-01-01 02:00:00,2,3,1,2015,278.9148,278.12463,11.0,284.34207,275.5273071289063,293.0095703125
2015-01-01 03:00:00,3,3,1,2015,279.23926,278.12463,11.0,284.34207,275.5273071289063,293.0095703125
2015-01-01 04:00:00,4,3,1,2015,279.60938,278.12463,11.0,284.34207,275.5273071289063,293.0095703125
2015-01-01 05:00:00,5,3,1,2015,280.0547,278.12463,11.0,284.34207,275.5273071289063,293.0095703125
2015-01-01 06:00:00,6,3,1,2015,280.4021,278.12463,11.0,284.34207,275.5273071289063,293.0095703125
2015-01-01 07:00:00,7,3,1,2015,280.46582,278.12463,11.0,284.34207,275.5273071289063,293.0095703125
2015-01-01 08:00:00,8,3,1,2015,280.57788,278.12463,11.0,284.34207,275.5273071289063,293.0095703125
2015-01-01 09:00:00,9,3,1,2015,280.74,278.12463,11.0,284.34207,275.5273071289063,293.0095703125
2015-01-01 10:00:00,10,3,1,2015,281.10034,278.12463,11.0,284.34207,275.5273071289063,293.0095703125
2015-01-01 11:00:00,11,3,1,2015,281.25342,278.12463,11.0,284.34207,275.5273071289063,293.0095703125
2015-01-01 12:00:00,12,3,1,2015,281.45093,278.12463,11.0,284.34207,275.5273071289063,293.0095703125
2015-01-01 13:00:00,13,3,1,2015,281.69092,278.12463,11.0,284.34207,275.5273071289063,293.0095703125
2015-01-01 14:00:00,14,3,1,2015,281.80518,278.12463,11.0,284.34207,275.5273071289063,293.0095703125
2015-01-01 15:00:00,15,3,1,2015,282.24,278.12463,11.0,284.34207,275.5273071289063,293.0095703125
