Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Temperature (K),Monthly average temperature (K),Monthly average temperature rank,Annual average temperature (K),5 percentile temperature (K),95 percentile temperature (K)
2015-01-01 00:00:00,0,3,1,2015,274.96924,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-01 01:00:00,1,3,1,2015,275.93018,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-01 02:00:00,2,3,1,2015,275.9558,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-01 03:00:00,3,3,1,2015,274.27466,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-01 04:00:00,4,3,1,2015,274.27148,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-01 05:00:00,5,3,1,2015,274.0996,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-01 06:00:00,6,3,1,2015,273.76733,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-01 07:00:00,7,3,1,2015,273.05762,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-01 08:00:00,8,3,1,2015,272.65405,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-01 09:00:00,9,3,1,2015,272.06226,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-01 10:00:00,10,3,1,2015,272.05933,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-01 11:00:00,11,3,1,2015,271.61084,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-01 12:00:00,12,3,1,2015,271.57983,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-01 13:00:00,13,3,1,2015,271.94678,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-01 14:00:00,14,3,1,2015,272.04932,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-01 15:00:00,15,3,1,2015,272.45093,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-01 16:00:00,16,3,1,2015,271.97754,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-01 17:00:00,17,3,1,2015,269.84448,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-01 18:00:00,18,3,1,2015,270.21753,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-01 19:00:00,19,3,1,2015,270.5393,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-01 20:00:00,20,3,1,2015,270.2605,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-01 21:00:00,21,3,1,2015,269.98364,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-01 22:00:00,22,3,1,2015,269.72412,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-01 23:00:00,23,3,1,2015,269.11133,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-02 00:00:00,0,4,1,2015,268.04858,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-02 01:00:00,1,4,1,2015,268.563,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-02 02:00:00,2,4,1,2015,269.79712,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-02 03:00:00,3,4,1,2015,269.28027,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-02 04:00:00,4,4,1,2015,269.18237,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-02 05:00:00,5,4,1,2015,268.75366,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-02 06:00:00,6,4,1,2015,268.48682,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-02 07:00:00,7,4,1,2015,268.75024,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-02 08:00:00,8,4,1,2015,267.85938,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-02 09:00:00,9,4,1,2015,267.10107,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-02 10:00:00,10,4,1,2015,268.45654,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-02 11:00:00,11,4,1,2015,267.33228,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-02 12:00:00,12,4,1,2015,267.86523,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-02 13:00:00,13,4,1,2015,269.08936,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-02 14:00:00,14,4,1,2015,270.78052,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-02 15:00:00,15,4,1,2015,272.1565,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-02 16:00:00,16,4,1,2015,273.3401,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-02 17:00:00,17,4,1,2015,274.22314,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-02 18:00:00,18,4,1,2015,273.68384,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-02 19:00:00,19,4,1,2015,273.45215,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-02 20:00:00,20,4,1,2015,271.38306,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-02 21:00:00,21,4,1,2015,270.76,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-02 22:00:00,22,4,1,2015,272.25635,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-02 23:00:00,23,4,1,2015,271.4441,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
2015-01-03 00:00:00,0,5,1,2015,271.71387,271.2603,12.0,277.16238,266.57362060546876,285.9526123046875
