Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Temperature (K),Monthly average temperature (K),Monthly average temperature rank,Annual average temperature (K),5 percentile temperature (K),95 percentile temperature (K)
2014-12-31 15:00:00,0,3,1,2015,267.12915,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2014-12-31 16:00:00,1,3,1,2015,267.1167,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2014-12-31 17:00:00,2,3,1,2015,265.6709,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2014-12-31 18:00:00,3,3,1,2015,265.74634,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2014-12-31 19:00:00,4,3,1,2015,265.78217,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2014-12-31 20:00:00,5,3,1,2015,265.46313,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2014-12-31 21:00:00,6,3,1,2015,265.01978,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2014-12-31 22:00:00,7,3,1,2015,264.7832,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2014-12-31 23:00:00,8,3,1,2015,264.7794,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2015-01-01 00:00:00,9,3,1,2015,264.86963,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2015-01-01 01:00:00,10,3,1,2015,264.92993,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2015-01-01 02:00:00,11,3,1,2015,267.2976,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2015-01-01 03:00:00,12,3,1,2015,267.5381,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2015-01-01 04:00:00,13,3,1,2015,267.5996,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2015-01-01 05:00:00,14,3,1,2015,269.10156,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2015-01-01 06:00:00,15,3,1,2015,269.2046,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2015-01-01 07:00:00,16,3,1,2015,269.13574,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2015-01-01 08:00:00,17,3,1,2015,267.38037,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2015-01-01 09:00:00,18,3,1,2015,267.3064,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2015-01-01 10:00:00,19,3,1,2015,266.07666,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2015-01-01 11:00:00,20,3,1,2015,265.7671,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2015-01-01 12:00:00,21,3,1,2015,265.5681,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2015-01-01 13:00:00,22,3,1,2015,265.5288,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2015-01-01 14:00:00,23,3,1,2015,265.08847,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2015-01-01 15:00:00,0,4,1,2015,265.25946,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2015-01-01 16:00:00,1,4,1,2015,265.489,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2015-01-01 17:00:00,2,4,1,2015,265.51038,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2015-01-01 18:00:00,3,4,1,2015,265.68823,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2015-01-01 19:00:00,4,4,1,2015,265.8187,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2015-01-01 20:00:00,5,4,1,2015,265.1726,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2015-01-01 21:00:00,6,4,1,2015,265.3547,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2015-01-01 22:00:00,7,4,1,2015,265.72406,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2015-01-01 23:00:00,8,4,1,2015,265.39847,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2015-01-02 00:00:00,9,4,1,2015,265.70294,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2015-01-02 01:00:00,10,4,1,2015,265.55704,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2015-01-02 02:00:00,11,4,1,2015,269.8147,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2015-01-02 03:00:00,12,4,1,2015,270.13184,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2015-01-02 04:00:00,13,4,1,2015,270.15308,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2015-01-02 05:00:00,14,4,1,2015,271.66382,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2015-01-02 06:00:00,15,4,1,2015,271.7212,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
2015-01-02 07:00:00,16,4,1,2015,271.69165,271.67444,12.0,286.28967,269.012646484375,301.6411865234375
