Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Temperature (K),Monthly average temperature (K),Monthly average temperature rank,Annual average temperature (K),5 percentile temperature (K),95 percentile temperature (K)
2014-12-31 11:00:00,0,3,1,2015,292.08423,293.91943,1.0,288.7307,282.31182861328125,295.5048828125
2014-12-31 12:00:00,1,3,1,2015,292.2107,293.91943,1.0,288.7307,282.31182861328125,295.5048828125
2014-12-31 13:00:00,2,3,1,2015,292.24194,293.91943,1.0,288.7307,282.31182861328125,295.5048828125
2014-12-31 14:00:00,3,3,1,2015,291.3506,293.91943,1.0,288.7307,282.31182861328125,295.5048828125
2014-12-31 15:00:00,4,3,1,2015,291.24048,293.91943,1.0,288.7307,282.31182861328125,295.5048828125
2014-12-31 16:00:00,5,3,1,2015,290.96436,293.91943,1.0,288.7307,282.31182861328125,295.5048828125
2014-12-31 17:00:00,6,3,1,2015,290.34082,293.91943,1.0,288.7307,282.31182861328125,295.5048828125
2014-12-31 18:00:00,7,3,1,2015,290.64868,293.91943,1.0,288.7307,282.31182861328125,295.5048828125
2014-12-31 19:00:00,8,3,1,2015,291.02026,293.91943,1.0,288.7307,282.31182861328125,295.5048828125
2014-12-31 20:00:00,9,3,1,2015,292.41626,293.91943,1.0,288.7307,282.31182861328125,295.5048828125
2014-12-31 21:00:00,10,3,1,2015,292.3694,293.91943,1.0,288.7307,282.31182861328125,295.5048828125
2014-12-31 22:00:00,11,3,1,2015,293.39258,293.91943,1.0,288.7307,282.31182861328125,295.5048828125
2014-12-31 23:00:00,12,3,1,2015,293.19922,293.91943,1.0,288.7307,282.31182861328125,295.5048828125
2015-01-01 00:00:00,13,3,1,2015,293.04346,293.91943,1.0,288.7307,282.31182861328125,295.5048828125
2015-01-01 01:00:00,14,3,1,2015,292.92627,293.91943,1.0,288.7307,282.31182861328125,295.5048828125
2015-01-01 02:00:00,15,3,1,2015,293.0808,293.91943,1.0,288.7307,282.31182861328125,295.5048828125
2015-01-01 03:00:00,16,3,1,2015,292.81372,293.91943,1.0,288.7307,282.31182861328125,295.5048828125
2015-01-01 04:00:00,17,3,1,2015,292.54492,293.91943,1.0,288.7307,282.31182861328125,295.5048828125
2015-01-01 05:00:00,18,3,1,2015,291.5039,293.91943,1.0,288.7307,282.31182861328125,295.5048828125
2015-01-01 06:00:00,19,3,1,2015,291.73413,293.91943,1.0,288.7307,282.31182861328125,295.5048828125
