Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Temperature (K),Monthly average temperature (K),Monthly average temperature rank,Annual average temperature (K),5 percentile temperature (K),95 percentile temperature (K)
2014-12-31 23:00:00,0,3,1,2015,276.10547,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-01 00:00:00,1,3,1,2015,276.1958,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-01 01:00:00,2,3,1,2015,276.14502,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-01 02:00:00,3,3,1,2015,275.864,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-01 03:00:00,4,3,1,2015,275.80005,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-01 04:00:00,5,3,1,2015,275.87695,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-01 05:00:00,6,3,1,2015,276.1172,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-01 06:00:00,7,3,1,2015,276.40015,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-01 07:00:00,8,3,1,2015,276.6377,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-01 08:00:00,9,3,1,2015,277.05444,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-01 09:00:00,10,3,1,2015,277.49976,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-01 10:00:00,11,3,1,2015,277.95386,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-01 11:00:00,12,3,1,2015,278.38037,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-01 12:00:00,13,3,1,2015,278.73022,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-01 13:00:00,14,3,1,2015,279.1206,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-01 14:00:00,15,3,1,2015,279.30713,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-01 15:00:00,16,3,1,2015,279.53687,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-01 16:00:00,17,3,1,2015,279.73145,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-01 17:00:00,18,3,1,2015,279.72534,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-01 18:00:00,19,3,1,2015,279.53394,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-01 19:00:00,20,3,1,2015,279.1526,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-01 20:00:00,21,3,1,2015,279.08472,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-01 21:00:00,22,3,1,2015,279.2688,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-01 22:00:00,23,3,1,2015,278.9878,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-01 23:00:00,0,4,1,2015,279.02344,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-02 00:00:00,1,4,1,2015,278.9021,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-02 01:00:00,2,4,1,2015,278.67432,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-02 02:00:00,3,4,1,2015,278.6372,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-02 03:00:00,4,4,1,2015,278.62402,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-02 04:00:00,5,4,1,2015,278.55737,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-02 05:00:00,6,4,1,2015,278.4082,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-02 06:00:00,7,4,1,2015,278.5122,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-02 07:00:00,8,4,1,2015,278.6526,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-02 08:00:00,9,4,1,2015,279.26953,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-02 09:00:00,10,4,1,2015,280.16357,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-02 10:00:00,11,4,1,2015,281.12256,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-02 11:00:00,12,4,1,2015,280.97485,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-02 12:00:00,13,4,1,2015,280.6289,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-02 13:00:00,14,4,1,2015,279.9663,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-02 14:00:00,15,4,1,2015,278.85278,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-02 15:00:00,16,4,1,2015,278.2251,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-02 16:00:00,17,4,1,2015,277.87915,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-02 17:00:00,18,4,1,2015,277.7622,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-02 18:00:00,19,4,1,2015,277.21118,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-02 19:00:00,20,4,1,2015,276.59082,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-02 20:00:00,21,4,1,2015,276.219,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-02 21:00:00,22,4,1,2015,275.92603,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-02 22:00:00,23,4,1,2015,275.77393,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
2015-01-02 23:00:00,0,5,1,2015,275.70776,273.82007,12.0,281.09662,271.2885543823242,291.9405517578125
