Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Temperature (K),Monthly average temperature (K),Monthly average temperature rank,Annual average temperature (K),5 percentile temperature (K),95 percentile temperature (K)
2014-12-31 23:00:00,0,3,1,2015,258.08994,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-01 00:00:00,1,3,1,2015,256.7544,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-01 01:00:00,2,3,1,2015,256.4984,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-01 02:00:00,3,3,1,2015,256.21564,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-01 03:00:00,4,3,1,2015,256.53046,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-01 04:00:00,5,3,1,2015,256.709,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-01 05:00:00,6,3,1,2015,257.1993,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-01 06:00:00,7,3,1,2015,257.5114,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-01 07:00:00,8,3,1,2015,258.89752,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-01 08:00:00,9,3,1,2015,259.41748,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-01 09:00:00,10,3,1,2015,263.01538,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-01 10:00:00,11,3,1,2015,266.81104,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-01 11:00:00,12,3,1,2015,268.4214,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-01 12:00:00,13,3,1,2015,269.4431,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-01 13:00:00,14,3,1,2015,270.23193,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-01 14:00:00,15,3,1,2015,270.1919,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-01 15:00:00,16,3,1,2015,270.87842,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-01 16:00:00,17,3,1,2015,271.0066,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-01 17:00:00,18,3,1,2015,270.52393,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-01 18:00:00,19,3,1,2015,270.24268,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-01 19:00:00,20,3,1,2015,270.4358,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-01 20:00:00,21,3,1,2015,269.00854,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-01 21:00:00,22,3,1,2015,268.1045,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-01 22:00:00,23,3,1,2015,266.83716,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-01 23:00:00,0,4,1,2015,266.80664,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-02 00:00:00,1,4,1,2015,266.89233,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-02 01:00:00,2,4,1,2015,266.13892,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-02 02:00:00,3,4,1,2015,265.90845,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-02 03:00:00,4,4,1,2015,266.2041,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-02 04:00:00,5,4,1,2015,266.18433,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-02 05:00:00,6,4,1,2015,266.1306,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-02 06:00:00,7,4,1,2015,266.0376,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-02 07:00:00,8,4,1,2015,265.40063,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-02 08:00:00,9,4,1,2015,266.98633,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-02 09:00:00,10,4,1,2015,269.2378,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-02 10:00:00,11,4,1,2015,273.22412,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-02 11:00:00,12,4,1,2015,274.16846,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-02 12:00:00,13,4,1,2015,275.4026,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-02 13:00:00,14,4,1,2015,275.81396,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-02 14:00:00,15,4,1,2015,275.261,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-02 15:00:00,16,4,1,2015,275.28345,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-02 16:00:00,17,4,1,2015,274.33032,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-02 17:00:00,18,4,1,2015,273.97705,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-02 18:00:00,19,4,1,2015,274.23462,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-02 19:00:00,20,4,1,2015,274.22168,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-02 20:00:00,21,4,1,2015,273.73853,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-02 21:00:00,22,4,1,2015,273.8694,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-02 22:00:00,23,4,1,2015,272.95728,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-02 23:00:00,0,5,1,2015,271.56104,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-03 00:00:00,1,5,1,2015,271.1765,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-03 01:00:00,2,5,1,2015,271.07983,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
2015-01-03 02:00:00,3,5,1,2015,271.74316,275.2594,11.0,284.2049,271.98623046875,299.03062744140624
