Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Temperature (K)
2015-01-01 03:00:00,0,3,1,2015,297.1019
2015-01-01 04:00:00,1,3,1,2015,296.91733
2015-01-01 05:00:00,2,3,1,2015,295.9629
2015-01-01 06:00:00,3,3,1,2015,295.90793
2015-01-01 07:00:00,4,3,1,2015,295.90463
2015-01-01 08:00:00,5,3,1,2015,295.7419
2015-01-01 09:00:00,6,3,1,2015,296.41577
2015-01-01 10:00:00,7,3,1,2015,299.74918
2015-01-01 11:00:00,8,3,1,2015,300.7035
2015-01-01 12:00:00,9,3,1,2015,301.52863
2015-01-01 13:00:00,10,3,1,2015,301.9138
2015-01-01 14:00:00,11,3,1,2015,302.39676
2015-01-01 15:00:00,12,3,1,2015,303.53552
2015-01-01 16:00:00,13,3,1,2015,304.04
2015-01-01 17:00:00,14,3,1,2015,304.06863
2015-01-01 18:00:00,15,3,1,2015,304.00482
2015-01-01 19:00:00,16,3,1,2015,302.538
2015-01-01 20:00:00,17,3,1,2015,302.2592
2015-01-01 21:00:00,18,3,1,2015,300.3482
2015-01-01 22:00:00,19,3,1,2015,298.5264
2015-01-01 23:00:00,20,3,1,2015,298.3381
2015-01-02 00:00:00,21,3,1,2015,298.25714
2015-01-02 01:00:00,22,3,1,2015,298.40497
2015-01-02 02:00:00,23,3,1,2015,298.2409
2015-01-02 03:00:00,0,4,1,2015,297.486
2015-01-02 04:00:00,1,4,1,2015,297.12985
2015-01-02 05:00:00,2,4,1,2015,296.44702
2015-01-02 06:00:00,3,4,1,2015,296.45425
2015-01-02 07:00:00,4,4,1,2015,296.28952
2015-01-02 08:00:00,5,4,1,2015,296.34116
2015-01-02 09:00:00,6,4,1,2015,296.30356
2015-01-02 10:00:00,7,4,1,2015,298.85367
2015-01-02 11:00:00,8,4,1,2015,299.59378
2015-01-02 12:00:00,9,4,1,2015,300.60135
2015-01-02 13:00:00,10,4,1,2015,300.94742
2015-01-02 14:00:00,11,4,1,2015,301.8085
2015-01-02 15:00:00,12,4,1,2015,304.17862
2015-01-02 16:00:00,13,4,1,2015,304.44687
2015-01-02 17:00:00,14,4,1,2015,304.62137
2015-01-02 18:00:00,15,4,1,2015,304.3961
2015-01-02 19:00:00,16,4,1,2015,303.82043
2015-01-02 20:00:00,17,4,1,2015,303.13632
2015-01-02 21:00:00,18,4,1,2015,300.89197
2015-01-02 22:00:00,19,4,1,2015,296.91345
2015-01-02 23:00:00,20,4,1,2015,297.13266
2015-01-03 00:00:00,21,4,1,2015,297.18866
2015-01-03 01:00:00,22,4,1,2015,297.06418
