Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Temperature (K)
2014-12-31 22:00:00,0,3,1,2015,285.36023
2014-12-31 23:00:00,1,3,1,2015,285.30142
2015-01-01 00:00:00,2,3,1,2015,285.3794
2015-01-01 01:00:00,3,3,1,2015,285.85748
2015-01-01 02:00:00,4,3,1,2015,286.2503
2015-01-01 03:00:00,5,3,1,2015,286.24536
2015-01-01 04:00:00,6,3,1,2015,286.1979
2015-01-01 05:00:00,7,3,1,2015,286.23828
2015-01-01 06:00:00,8,3,1,2015,285.638
2015-01-01 07:00:00,9,3,1,2015,286.11014
2015-01-01 08:00:00,10,3,1,2015,287.80402
2015-01-01 09:00:00,11,3,1,2015,288.29446
2015-01-01 10:00:00,12,3,1,2015,288.3002
2015-01-01 11:00:00,13,3,1,2015,288.57916
2015-01-01 12:00:00,14,3,1,2015,288.2224
2015-01-01 13:00:00,15,3,1,2015,287.79422
2015-01-01 14:00:00,16,3,1,2015,286.80386
2015-01-01 15:00:00,17,3,1,2015,285.96872
2015-01-01 16:00:00,18,3,1,2015,285.75012
2015-01-01 17:00:00,19,3,1,2015,285.01093
2015-01-01 18:00:00,20,3,1,2015,285.11163
2015-01-01 19:00:00,21,3,1,2015,285.10507
2015-01-01 20:00:00,22,3,1,2015,284.78024
2015-01-01 21:00:00,23,3,1,2015,284.7877
2015-01-01 22:00:00,0,4,1,2015,284.29465
2015-01-01 23:00:00,1,4,1,2015,284.15082
2015-01-02 00:00:00,2,4,1,2015,284.2695
2015-01-02 01:00:00,3,4,1,2015,284.4829
2015-01-02 02:00:00,4,4,1,2015,283.64087
2015-01-02 03:00:00,5,4,1,2015,283.6596
2015-01-02 04:00:00,6,4,1,2015,283.59512
2015-01-02 05:00:00,7,4,1,2015,283.74088
2015-01-02 06:00:00,8,4,1,2015,284.38745
2015-01-02 07:00:00,9,4,1,2015,285.4041
2015-01-02 08:00:00,10,4,1,2015,287.66776
2015-01-02 09:00:00,11,4,1,2015,288.03946
2015-01-02 10:00:00,12,4,1,2015,288.19092
2015-01-02 11:00:00,13,4,1,2015,287.9879
2015-01-02 12:00:00,14,4,1,2015,287.5126
2015-01-02 13:00:00,15,4,1,2015,287.38538
2015-01-02 14:00:00,16,4,1,2015,286.45154
2015-01-02 15:00:00,17,4,1,2015,285.7392
2015-01-02 16:00:00,18,4,1,2015,285.49893
2015-01-02 17:00:00,19,4,1,2015,284.3911
2015-01-02 18:00:00,20,4,1,2015,284.20987
2015-01-02 19:00:00,21,4,1,2015,284.07715
2015-01-02 20:00:00,22,4,1,2015,283.77698
2015-01-02 21:00:00,23,4,1,2015,283.6222
2015-01-02 22:00:00,0,5,1,2015,283.19907
2015-01-02 23:00:00,1,5,1,2015,283.01984
2015-01-03 00:00:00,2,5,1,2015,282.6659
2015-01-03 01:00:00,3,5,1,2015,282.7556
2015-01-03 02:00:00,4,5,1,2015,282.79636
2015-01-03 03:00:00,5,5,1,2015,283.08798
2015-01-03 04:00:00,6,5,1,2015,283.2852
2015-01-03 05:00:00,7,5,1,2015,283.22083
2015-01-03 06:00:00,8,5,1,2015,283.1129
2015-01-03 07:00:00,9,5,1,2015,283.87082
2015-01-03 08:00:00,10,5,1,2015,284.1311
2015-01-03 09:00:00,11,5,1,2015,284.00427
2015-01-03 10:00:00,12,5,1,2015,286.79138
2015-01-03 11:00:00,13,5,1,2015,286.8305
2015-01-03 12:00:00,14,5,1,2015,286.08524
2015-01-03 13:00:00,15,5,1,2015,286.15353
2015-01-03 14:00:00,16,5,1,2015,285.81924
2015-01-03 15:00:00,17,5,1,2015,285.40143
2015-01-03 16:00:00,18,5,1,2015,284.615
2015-01-03 17:00:00,19,5,1,2015,284.02734
2015-01-03 18:00:00,20,5,1,2015,283.99002
2015-01-03 19:00:00,21,5,1,2015,284.23297
2015-01-03 20:00:00,22,5,1,2015,283.8302
2015-01-03 21:00:00,23,5,1,2015,283.92136
2015-01-03 22:00:00,0,6,1,2015,282.80624
2015-01-03 23:00:00,1,6,1,2015,282.5658
2015-01-04 00:00:00,2,6,1,2015,282.43997
2015-01-04 01:00:00,3,6,1,2015,282.43808
2015-01-04 02:00:00,4,6,1,2015,282.02563
2015-01-04 03:00:00,5,6,1,2015,281.9022
2015-01-04 04:00:00,6,6,1,2015,282.10962
2015-01-04 05:00:00,7,6,1,2015,282.23245
2015-01-04 06:00:00,8,6,1,2015,282.8866
2015-01-04 07:00:00,9,6,1,2015,284.85022
2015-01-04 08:00:00,10,6,1,2015,287.1073
2015-01-04 09:00:00,11,6,1,2015,287.3702
2015-01-04 10:00:00,12,6,1,2015,287.84726
2015-01-04 11:00:00,13,6,1,2015,288.12006
2015-01-04 12:00:00,14,6,1,2015,288.30212
2015-01-04 13:00:00,15,6,1,2015,288.05167
2015-01-04 14:00:00,16,6,1,2015,287.39587
2015-01-04 15:00:00,17,6,1,2015,286.67172
2015-01-04 16:00:00,18,6,1,2015,286.43628
2015-01-04 17:00:00,19,6,1,2015,285.79083
2015-01-04 18:00:00,20,6,1,2015,285.85406
2015-01-04 19:00:00,21,6,1,2015,285.5558
2015-01-04 20:00:00,22,6,1,2015,285.7393
2015-01-04 21:00:00,23,6,1,2015,285.39166
2015-01-04 22:00:00,0,0,1,2015,285.543
2015-01-04 23:00:00,1,0,1,2015,285.41577
2015-01-05 00:00:00,2,0,1,2015,285.485
2015-01-05 01:00:00,3,0,1,2015,285.4746
2015-01-05 02:00:00,4,0,1,2015,285.54553
2015-01-05 03:00:00,5,0,1,2015,285.50836
2015-01-05 04:00:00,6,0,1,2015,285.86465
2015-01-05 05:00:00,7,0,1,2015,286.11267
2015-01-05 06:00:00,8,0,1,2015,286.1521
2015-01-05 07:00:00,9,0,1,2015,286.26404
2015-01-05 08:00:00,10,0,1,2015,287.04486
2015-01-05 09:00:00,11,0,1,2015,287.0777
2015-01-05 10:00:00,12,0,1,2015,287.52646
2015-01-05 11:00:00,13,0,1,2015,287.68762
2015-01-05 12:00:00,14,0,1,2015,287.48727
2015-01-05 13:00:00,15,0,1,2015,287.0788
2015-01-05 14:00:00,16,0,1,2015,286.52097
2015-01-05 15:00:00,17,0,1,2015,286.32922
2015-01-05 16:00:00,18,0,1,2015,286.306
2015-01-05 17:00:00,19,0,1,2015,286.4051
2015-01-05 18:00:00,20,0,1,2015,286.40045
2015-01-05 19:00:00,21,0,1,2015,286.70346
2015-01-05 20:00:00,22,0,1,2015,286.9911
2015-01-05 21:00:00,23,0,1,2015,287.2209
2015-01-05 22:00:00,0,1,1,2015,287.10233
2015-01-05 23:00:00,1,1,1,2015,286.8569
2015-01-06 00:00:00,2,1,1,2015,286.78293
2015-01-06 01:00:00,3,1,1,2015,286.25458
2015-01-06 02:00:00,4,1,1,2015,286.62683
2015-01-06 03:00:00,5,1,1,2015,286.35275
2015-01-06 04:00:00,6,1,1,2015,286.19772
2015-01-06 05:00:00,7,1,1,2015,285.49414
2015-01-06 06:00:00,8,1,1,2015,285.0551
2015-01-06 07:00:00,9,1,1,2015,285.39014
2015-01-06 08:00:00,10,1,1,2015,285.78845
2015-01-06 09:00:00,11,1,1,2015,285.58545
2015-01-06 10:00:00,12,1,1,2015,285.03497
2015-01-06 11:00:00,13,1,1,2015,284.9423
2015-01-06 12:00:00,14,1,1,2015,284.5143
2015-01-06 13:00:00,15,1,1,2015,284.45203
2015-01-06 14:00:00,16,1,1,2015,283.4933
2015-01-06 15:00:00,17,1,1,2015,282.6541
2015-01-06 16:00:00,18,1,1,2015,282.39938
2015-01-06 17:00:00,19,1,1,2015,281.81335
2015-01-06 18:00:00,20,1,1,2015,281.59412
2015-01-06 19:00:00,21,1,1,2015,281.22073
2015-01-06 20:00:00,22,1,1,2015,280.88928
2015-01-06 21:00:00,23,1,1,2015,280.8859
2015-01-06 22:00:00,0,2,1,2015,280.60504
2015-01-06 23:00:00,1,2,1,2015,280.35364
2015-01-07 00:00:00,2,2,1,2015,279.8414
2015-01-07 01:00:00,3,2,1,2015,279.43475
2015-01-07 02:00:00,4,2,1,2015,278.58252
2015-01-07 03:00:00,5,2,1,2015,278.50635
2015-01-07 04:00:00,6,2,1,2015,278.73804
2015-01-07 05:00:00,7,2,1,2015,278.8822
2015-01-07 06:00:00,8,2,1,2015,279.2286
2015-01-07 07:00:00,9,2,1,2015,280.0746
2015-01-07 08:00:00,10,2,1,2015,281.06042
2015-01-07 09:00:00,11,2,1,2015,281.31656
2015-01-07 10:00:00,12,2,1,2015,281.6091
2015-01-07 11:00:00,13,2,1,2015,281.94232
2015-01-07 12:00:00,14,2,1,2015,281.99777
2015-01-07 13:00:00,15,2,1,2015,281.89777
2015-01-07 14:00:00,16,2,1,2015,281.09073
2015-01-07 15:00:00,17,2,1,2015,280.83627
2015-01-07 16:00:00,18,2,1,2015,280.68582
2015-01-07 17:00:00,19,2,1,2015,280.28604
2015-01-07 18:00:00,20,2,1,2015,280.611
2015-01-07 19:00:00,21,2,1,2015,280.49545
2015-01-07 20:00:00,22,2,1,2015,280.3757
2015-01-07 21:00:00,23,2,1,2015,279.7443
2015-01-07 22:00:00,0,3,1,2015,278.95255
2015-01-07 23:00:00,1,3,1,2015,278.562
2015-01-08 00:00:00,2,3,1,2015,278.7879
2015-01-08 01:00:00,3,3,1,2015,278.5075
2015-01-08 02:00:00,4,3,1,2015,278.2112
2015-01-08 03:00:00,5,3,1,2015,278.4503
2015-01-08 04:00:00,6,3,1,2015,278.09406
2015-01-08 05:00:00,7,3,1,2015,278.15906
2015-01-08 06:00:00,8,3,1,2015,278.0941
2015-01-08 07:00:00,9,3,1,2015,278.27368
2015-01-08 08:00:00,10,3,1,2015,279.42197
2015-01-08 09:00:00,11,3,1,2015,279.8125
2015-01-08 10:00:00,12,3,1,2015,279.96228
2015-01-08 11:00:00,13,3,1,2015,280.23892
2015-01-08 12:00:00,14,3,1,2015,280.371
2015-01-08 13:00:00,15,3,1,2015,280.40814
2015-01-08 14:00:00,16,3,1,2015,279.83853
2015-01-08 15:00:00,17,3,1,2015,279.4035
2015-01-08 16:00:00,18,3,1,2015,279.13245
2015-01-08 17:00:00,19,3,1,2015,278.4685
2015-01-08 18:00:00,20,3,1,2015,278.30002
2015-01-08 19:00:00,21,3,1,2015,278.22363
2015-01-08 20:00:00,22,3,1,2015,278.03397
2015-01-08 21:00:00,23,3,1,2015,277.95493
2015-01-08 22:00:00,0,4,1,2015,277.28168
2015-01-08 23:00:00,1,4,1,2015,277.44247
2015-01-09 00:00:00,2,4,1,2015,277.4214
2015-01-09 01:00:00,3,4,1,2015,277.56458
2015-01-09 02:00:00,4,4,1,2015,277.0216
2015-01-09 03:00:00,5,4,1,2015,276.62164
2015-01-09 04:00:00,6,4,1,2015,276.58188
2015-01-09 05:00:00,7,4,1,2015,276.44028
2015-01-09 06:00:00,8,4,1,2015,276.64447
2015-01-09 07:00:00,9,4,1,2015,276.78842
2015-01-09 08:00:00,10,4,1,2015,278.40555
2015-01-09 09:00:00,11,4,1,2015,278.52426
2015-01-09 10:00:00,12,4,1,2015,278.90585
2015-01-09 11:00:00,13,4,1,2015,279.0558
2015-01-09 12:00:00,14,4,1,2015,279.56183
2015-01-09 13:00:00,15,4,1,2015,279.32608
2015-01-09 14:00:00,16,4,1,2015,278.87164
2015-01-09 15:00:00,17,4,1,2015,277.99997
2015-01-09 16:00:00,18,4,1,2015,277.70987
2015-01-09 17:00:00,19,4,1,2015,277.11804
2015-01-09 18:00:00,20,4,1,2015,276.85913
2015-01-09 19:00:00,21,4,1,2015,277.0802
2015-01-09 20:00:00,22,4,1,2015,276.61432
2015-01-09 21:00:00,23,4,1,2015,276.4855
2015-01-09 22:00:00,0,5,1,2015,276.41983
2015-01-09 23:00:00,1,5,1,2015,276.1305
2015-01-10 00:00:00,2,5,1,2015,276.3743
2015-01-10 01:00:00,3,5,1,2015,276.54504
2015-01-10 02:00:00,4,5,1,2015,276.0137
2015-01-10 03:00:00,5,5,1,2015,276.04175
2015-01-10 04:00:00,6,5,1,2015,276.34668
2015-01-10 05:00:00,7,5,1,2015,276.8817
2015-01-10 06:00:00,8,5,1,2015,277.2375
2015-01-10 07:00:00,9,5,1,2015,278.2153
2015-01-10 08:00:00,10,5,1,2015,279.74673
2015-01-10 09:00:00,11,5,1,2015,280.68982
2015-01-10 10:00:00,12,5,1,2015,281.42728
2015-01-10 11:00:00,13,5,1,2015,281.6044
