Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Temperature (K)
2014-12-31 23:00:00,0,3,1,2015,271.2795
2015-01-01 00:00:00,1,3,1,2015,271.45947
2015-01-01 01:00:00,2,3,1,2015,271.61072
2015-01-01 02:00:00,3,3,1,2015,271.7861
2015-01-01 03:00:00,4,3,1,2015,271.9641
2015-01-01 04:00:00,5,3,1,2015,272.1148
2015-01-01 05:00:00,6,3,1,2015,272.31555
2015-01-01 06:00:00,7,3,1,2015,272.5197
2015-01-01 07:00:00,8,3,1,2015,272.7883
2015-01-01 08:00:00,9,3,1,2015,273.189
2015-01-01 09:00:00,10,3,1,2015,273.56573
2015-01-01 10:00:00,11,3,1,2015,273.8829
2015-01-01 11:00:00,12,3,1,2015,274.31897
2015-01-01 12:00:00,13,3,1,2015,274.5818
2015-01-01 13:00:00,14,3,1,2015,274.9767
2015-01-01 14:00:00,15,3,1,2015,275.09445
2015-01-01 15:00:00,16,3,1,2015,274.72913
2015-01-01 16:00:00,17,3,1,2015,274.25424
2015-01-01 17:00:00,18,3,1,2015,274.4174
2015-01-01 18:00:00,19,3,1,2015,274.2835
2015-01-01 19:00:00,20,3,1,2015,274.23636
2015-01-01 20:00:00,21,3,1,2015,273.91003
2015-01-01 21:00:00,22,3,1,2015,273.87512
2015-01-01 22:00:00,23,3,1,2015,273.50797
2015-01-01 23:00:00,0,4,1,2015,273.533
2015-01-02 00:00:00,1,4,1,2015,273.8958
2015-01-02 01:00:00,2,4,1,2015,273.90347
2015-01-02 02:00:00,3,4,1,2015,273.96643
2015-01-02 03:00:00,4,4,1,2015,274.1568
2015-01-02 04:00:00,5,4,1,2015,274.15787
2015-01-02 05:00:00,6,4,1,2015,274.18338
2015-01-02 06:00:00,7,4,1,2015,274.21167
2015-01-02 07:00:00,8,4,1,2015,274.29602
2015-01-02 08:00:00,9,4,1,2015,274.40408
2015-01-02 09:00:00,10,4,1,2015,275.12064
2015-01-02 10:00:00,11,4,1,2015,275.13754
2015-01-02 11:00:00,12,4,1,2015,275.07687
2015-01-02 12:00:00,13,4,1,2015,275.37698
2015-01-02 13:00:00,14,4,1,2015,275.7122
2015-01-02 14:00:00,15,4,1,2015,275.82043
2015-01-02 15:00:00,16,4,1,2015,275.854
2015-01-02 16:00:00,17,4,1,2015,275.78387
2015-01-02 17:00:00,18,4,1,2015,275.81104
2015-01-02 18:00:00,19,4,1,2015,275.918
2015-01-02 19:00:00,20,4,1,2015,275.92328
2015-01-02 20:00:00,21,4,1,2015,276.02936
2015-01-02 21:00:00,22,4,1,2015,275.9219
2015-01-02 22:00:00,23,4,1,2015,275.78033
2015-01-02 23:00:00,0,5,1,2015,275.94583
2015-01-03 00:00:00,1,5,1,2015,275.95422
2015-01-03 01:00:00,2,5,1,2015,276.09683
2015-01-03 02:00:00,3,5,1,2015,275.99847
2015-01-03 03:00:00,4,5,1,2015,275.9862
2015-01-03 04:00:00,5,5,1,2015,275.9167
2015-01-03 05:00:00,6,5,1,2015,275.64648
2015-01-03 06:00:00,7,5,1,2015,275.19775
2015-01-03 07:00:00,8,5,1,2015,274.95514
2015-01-03 08:00:00,9,5,1,2015,275.03867
2015-01-03 09:00:00,10,5,1,2015,275.13113
2015-01-03 10:00:00,11,5,1,2015,275.93265
2015-01-03 11:00:00,12,5,1,2015,276.06738
2015-01-03 12:00:00,13,5,1,2015,276.14404
2015-01-03 13:00:00,14,5,1,2015,275.9041
2015-01-03 14:00:00,15,5,1,2015,275.54343
2015-01-03 15:00:00,16,5,1,2015,275.12863
2015-01-03 16:00:00,17,5,1,2015,274.68045
2015-01-03 17:00:00,18,5,1,2015,274.5409
2015-01-03 18:00:00,19,5,1,2015,274.35806
