Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Temperature (K)
2014-12-31 23:00:00,0,3,1,2015,277.90332
2015-01-01 00:00:00,1,3,1,2015,277.75613
2015-01-01 01:00:00,2,3,1,2015,277.96304
2015-01-01 02:00:00,3,3,1,2015,278.1647
2015-01-01 03:00:00,4,3,1,2015,278.50232
2015-01-01 04:00:00,5,3,1,2015,278.7094
2015-01-01 05:00:00,6,3,1,2015,278.90527
2015-01-01 06:00:00,7,3,1,2015,279.1037
2015-01-01 07:00:00,8,3,1,2015,279.20984
2015-01-01 08:00:00,9,3,1,2015,279.3142
2015-01-01 09:00:00,10,3,1,2015,279.4311
2015-01-01 10:00:00,11,3,1,2015,279.4914
2015-01-01 11:00:00,12,3,1,2015,279.56754
2015-01-01 12:00:00,13,3,1,2015,279.5064
2015-01-01 13:00:00,14,3,1,2015,279.43518
2015-01-01 14:00:00,15,3,1,2015,279.36063
2015-01-01 15:00:00,16,3,1,2015,279.24268
2015-01-01 16:00:00,17,3,1,2015,279.1172
2015-01-01 17:00:00,18,3,1,2015,278.92856
2015-01-01 18:00:00,19,3,1,2015,278.8343
2015-01-01 19:00:00,20,3,1,2015,278.715
2015-01-01 20:00:00,21,3,1,2015,278.578
2015-01-01 21:00:00,22,3,1,2015,278.5114
2015-01-01 22:00:00,23,3,1,2015,278.5415
2015-01-01 23:00:00,0,4,1,2015,278.57574
2015-01-02 00:00:00,1,4,1,2015,278.7003
2015-01-02 01:00:00,2,4,1,2015,278.9525
2015-01-02 02:00:00,3,4,1,2015,279.3985
2015-01-02 03:00:00,4,4,1,2015,279.88684
2015-01-02 04:00:00,5,4,1,2015,280.32562
2015-01-02 05:00:00,6,4,1,2015,281.03754
2015-01-02 06:00:00,7,4,1,2015,281.59348
2015-01-02 07:00:00,8,4,1,2015,281.81396
2015-01-02 08:00:00,9,4,1,2015,281.56598
2015-01-02 09:00:00,10,4,1,2015,280.7669
2015-01-02 10:00:00,11,4,1,2015,280.4294
2015-01-02 11:00:00,12,4,1,2015,279.96686
2015-01-02 12:00:00,13,4,1,2015,279.62134
2015-01-02 13:00:00,14,4,1,2015,279.1435
2015-01-02 14:00:00,15,4,1,2015,279.0018
2015-01-02 15:00:00,16,4,1,2015,278.68625
2015-01-02 16:00:00,17,4,1,2015,278.4674
2015-01-02 17:00:00,18,4,1,2015,278.52426
2015-01-02 18:00:00,19,4,1,2015,278.49518
2015-01-02 19:00:00,20,4,1,2015,278.42166
2015-01-02 20:00:00,21,4,1,2015,278.33405
2015-01-02 21:00:00,22,4,1,2015,277.97333
2015-01-02 22:00:00,23,4,1,2015,278.07504
2015-01-02 23:00:00,0,5,1,2015,277.99377
2015-01-03 00:00:00,1,5,1,2015,277.87152
2015-01-03 01:00:00,2,5,1,2015,277.849
2015-01-03 02:00:00,3,5,1,2015,277.8724
2015-01-03 03:00:00,4,5,1,2015,277.85947
2015-01-03 04:00:00,5,5,1,2015,277.80212
2015-01-03 05:00:00,6,5,1,2015,277.53796
2015-01-03 06:00:00,7,5,1,2015,277.2943
2015-01-03 07:00:00,8,5,1,2015,276.85226
2015-01-03 08:00:00,9,5,1,2015,277.1465
2015-01-03 09:00:00,10,5,1,2015,277.55756
2015-01-03 10:00:00,11,5,1,2015,278.2178
2015-01-03 11:00:00,12,5,1,2015,278.5127
2015-01-03 12:00:00,13,5,1,2015,278.52554
2015-01-03 13:00:00,14,5,1,2015,278.3965
2015-01-03 14:00:00,15,5,1,2015,278.135
2015-01-03 15:00:00,16,5,1,2015,277.7569
2015-01-03 16:00:00,17,5,1,2015,277.4049
2015-01-03 17:00:00,18,5,1,2015,277.24847
2015-01-03 18:00:00,19,5,1,2015,277.1365
2015-01-03 19:00:00,20,5,1,2015,277.09103
2015-01-03 20:00:00,21,5,1,2015,277.04895
2015-01-03 21:00:00,22,5,1,2015,277.02097
2015-01-03 22:00:00,23,5,1,2015,276.85355
2015-01-03 23:00:00,0,6,1,2015,276.75046
2015-01-04 00:00:00,1,6,1,2015,276.67087
2015-01-04 01:00:00,2,6,1,2015,276.6807
2015-01-04 02:00:00,3,6,1,2015,276.72507
2015-01-04 03:00:00,4,6,1,2015,276.78064
2015-01-04 04:00:00,5,6,1,2015,276.76086
2015-01-04 05:00:00,6,6,1,2015,276.73938
2015-01-04 06:00:00,7,6,1,2015,276.6991
2015-01-04 07:00:00,8,6,1,2015,276.6321
