Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Temperature (K)
2014-12-31 22:00:00,0,3,1,2015,276.52365
2014-12-31 23:00:00,1,3,1,2015,276.4029
2015-01-01 00:00:00,2,3,1,2015,276.27112
2015-01-01 01:00:00,3,3,1,2015,276.32895
2015-01-01 02:00:00,4,3,1,2015,276.1925
2015-01-01 03:00:00,5,3,1,2015,276.07217
2015-01-01 04:00:00,6,3,1,2015,275.92188
2015-01-01 05:00:00,7,3,1,2015,275.78635
2015-01-01 06:00:00,8,3,1,2015,275.73413
2015-01-01 07:00:00,9,3,1,2015,275.8229
2015-01-01 08:00:00,10,3,1,2015,275.93964
2015-01-01 09:00:00,11,3,1,2015,275.9094
2015-01-01 10:00:00,12,3,1,2015,275.96472
2015-01-01 11:00:00,13,3,1,2015,275.9484
2015-01-01 12:00:00,14,3,1,2015,276.03006
2015-01-01 13:00:00,15,3,1,2015,276.1845
2015-01-01 14:00:00,16,3,1,2015,276.46457
2015-01-01 15:00:00,17,3,1,2015,276.62048
2015-01-01 16:00:00,18,3,1,2015,276.71463
2015-01-01 17:00:00,19,3,1,2015,277.0286
2015-01-01 18:00:00,20,3,1,2015,277.16284
2015-01-01 19:00:00,21,3,1,2015,277.2454
2015-01-01 20:00:00,22,3,1,2015,277.6073
2015-01-01 21:00:00,23,3,1,2015,277.60886
2015-01-01 22:00:00,0,4,1,2015,277.75134
2015-01-01 23:00:00,1,4,1,2015,277.68295
2015-01-02 00:00:00,2,4,1,2015,277.62128
2015-01-02 01:00:00,3,4,1,2015,277.62473
2015-01-02 02:00:00,4,4,1,2015,277.50635
2015-01-02 03:00:00,5,4,1,2015,277.50836
2015-01-02 04:00:00,6,4,1,2015,277.49252
2015-01-02 05:00:00,7,4,1,2015,277.15018
2015-01-02 06:00:00,8,4,1,2015,277.08218
2015-01-02 07:00:00,9,4,1,2015,276.99973
2015-01-02 08:00:00,10,4,1,2015,276.69064
2015-01-02 09:00:00,11,4,1,2015,276.62006
2015-01-02 10:00:00,12,4,1,2015,276.75745
2015-01-02 11:00:00,13,4,1,2015,276.88406
2015-01-02 12:00:00,14,4,1,2015,277.1322
2015-01-02 13:00:00,15,4,1,2015,277.4788
2015-01-02 14:00:00,16,4,1,2015,278.52002
2015-01-02 15:00:00,17,4,1,2015,278.47162
2015-01-02 16:00:00,18,4,1,2015,278.1256
2015-01-02 17:00:00,19,4,1,2015,277.6112
2015-01-02 18:00:00,20,4,1,2015,277.5134
2015-01-02 19:00:00,21,4,1,2015,277.50473
2015-01-02 20:00:00,22,4,1,2015,277.0185
2015-01-02 21:00:00,23,4,1,2015,276.98398
2015-01-02 22:00:00,0,5,1,2015,276.6269
2015-01-02 23:00:00,1,5,1,2015,276.62488
2015-01-03 00:00:00,2,5,1,2015,276.5664
2015-01-03 01:00:00,3,5,1,2015,276.4827
2015-01-03 02:00:00,4,5,1,2015,276.2565
2015-01-03 03:00:00,5,5,1,2015,276.26376
2015-01-03 04:00:00,6,5,1,2015,276.3043
2015-01-03 05:00:00,7,5,1,2015,276.0957
2015-01-03 06:00:00,8,5,1,2015,276.06647
2015-01-03 07:00:00,9,5,1,2015,276.24246
2015-01-03 08:00:00,10,5,1,2015,276.37286
2015-01-03 09:00:00,11,5,1,2015,276.59055
2015-01-03 10:00:00,12,5,1,2015,275.75208
2015-01-03 11:00:00,13,5,1,2015,275.58875
2015-01-03 12:00:00,14,5,1,2015,275.3756
2015-01-03 13:00:00,15,5,1,2015,275.23557
2015-01-03 14:00:00,16,5,1,2015,275.00836
2015-01-03 15:00:00,17,5,1,2015,274.9596
2015-01-03 16:00:00,18,5,1,2015,274.93716
2015-01-03 17:00:00,19,5,1,2015,274.72623
2015-01-03 18:00:00,20,5,1,2015,274.6808
2015-01-03 19:00:00,21,5,1,2015,274.607
2015-01-03 20:00:00,22,5,1,2015,274.36978
2015-01-03 21:00:00,23,5,1,2015,274.3224
2015-01-03 22:00:00,0,6,1,2015,273.84726
2015-01-03 23:00:00,1,6,1,2015,273.7892
2015-01-04 00:00:00,2,6,1,2015,273.75082
2015-01-04 01:00:00,3,6,1,2015,273.77457
2015-01-04 02:00:00,4,6,1,2015,273.39066
2015-01-04 03:00:00,5,6,1,2015,273.27155
2015-01-04 04:00:00,6,6,1,2015,273.12936
2015-01-04 05:00:00,7,6,1,2015,272.47638
2015-01-04 06:00:00,8,6,1,2015,272.37598
2015-01-04 07:00:00,9,6,1,2015,272.32352
2015-01-04 08:00:00,10,6,1,2015,271.81522
2015-01-04 09:00:00,11,6,1,2015,271.73392
2015-01-04 10:00:00,12,6,1,2015,271.40714
2015-01-04 11:00:00,13,6,1,2015,271.35248
2015-01-04 12:00:00,14,6,1,2015,271.41235
