Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Temperature (K)
2014-12-31 22:00:00,0,3,1,2015,276.29492
2014-12-31 23:00:00,1,3,1,2015,276.36783
2015-01-01 00:00:00,2,3,1,2015,276.423
2015-01-01 01:00:00,3,3,1,2015,276.4742
2015-01-01 02:00:00,4,3,1,2015,276.07236
2015-01-01 03:00:00,5,3,1,2015,275.8339
2015-01-01 04:00:00,6,3,1,2015,275.70898
2015-01-01 05:00:00,7,3,1,2015,275.61133
2015-01-01 06:00:00,8,3,1,2015,275.81357
2015-01-01 07:00:00,9,3,1,2015,275.86166
2015-01-01 08:00:00,10,3,1,2015,275.6788
2015-01-01 09:00:00,11,3,1,2015,275.65796
2015-01-01 10:00:00,12,3,1,2015,275.60425
2015-01-01 11:00:00,13,3,1,2015,275.37906
2015-01-01 12:00:00,14,3,1,2015,275.1228
2015-01-01 13:00:00,15,3,1,2015,274.9982
2015-01-01 14:00:00,16,3,1,2015,275.08188
2015-01-01 15:00:00,17,3,1,2015,275.20288
2015-01-01 16:00:00,18,3,1,2015,275.36816
2015-01-01 17:00:00,19,3,1,2015,275.6752
2015-01-01 18:00:00,20,3,1,2015,275.89395
2015-01-01 19:00:00,21,3,1,2015,276.23462
2015-01-01 20:00:00,22,3,1,2015,276.6433
2015-01-01 21:00:00,23,3,1,2015,276.71802
2015-01-01 22:00:00,0,4,1,2015,276.88297
2015-01-01 23:00:00,1,4,1,2015,276.85156
2015-01-02 00:00:00,2,4,1,2015,276.80576
2015-01-02 01:00:00,3,4,1,2015,276.79672
2015-01-02 02:00:00,4,4,1,2015,276.54605
2015-01-02 03:00:00,5,4,1,2015,276.43848
2015-01-02 04:00:00,6,4,1,2015,276.56607
2015-01-02 05:00:00,7,4,1,2015,276.82095
2015-01-02 06:00:00,8,4,1,2015,276.99878
2015-01-02 07:00:00,9,4,1,2015,276.90585
2015-01-02 08:00:00,10,4,1,2015,276.76627
2015-01-02 09:00:00,11,4,1,2015,276.6775
2015-01-02 10:00:00,12,4,1,2015,276.62515
2015-01-02 11:00:00,13,4,1,2015,276.954
2015-01-02 12:00:00,14,4,1,2015,277.329
2015-01-02 13:00:00,15,4,1,2015,277.79053
2015-01-02 14:00:00,16,4,1,2015,278.35342
2015-01-02 15:00:00,17,4,1,2015,277.96533
2015-01-02 16:00:00,18,4,1,2015,277.0328
2015-01-02 17:00:00,19,4,1,2015,276.2648
2015-01-02 18:00:00,20,4,1,2015,276.09204
2015-01-02 19:00:00,21,4,1,2015,276.0563
2015-01-02 20:00:00,22,4,1,2015,275.84424
2015-01-02 21:00:00,23,4,1,2015,275.7561
2015-01-02 22:00:00,0,5,1,2015,275.57666
2015-01-02 23:00:00,1,5,1,2015,275.5665
2015-01-03 00:00:00,2,5,1,2015,275.4821
2015-01-03 01:00:00,3,5,1,2015,275.44702
2015-01-03 02:00:00,4,5,1,2015,275.1757
2015-01-03 03:00:00,5,5,1,2015,274.88354
2015-01-03 04:00:00,6,5,1,2015,274.63242
2015-01-03 05:00:00,7,5,1,2015,274.6227
2015-01-03 06:00:00,8,5,1,2015,274.87613
2015-01-03 07:00:00,9,5,1,2015,275.06723
2015-01-03 08:00:00,10,5,1,2015,275.10245
2015-01-03 09:00:00,11,5,1,2015,275.2313
2015-01-03 10:00:00,12,5,1,2015,274.78574
2015-01-03 11:00:00,13,5,1,2015,274.53223
2015-01-03 12:00:00,14,5,1,2015,274.4396
2015-01-03 13:00:00,15,5,1,2015,274.38046
2015-01-03 14:00:00,16,5,1,2015,274.2841
2015-01-03 15:00:00,17,5,1,2015,274.24234
2015-01-03 16:00:00,18,5,1,2015,274.21265
2015-01-03 17:00:00,19,5,1,2015,274.14127
2015-01-03 18:00:00,20,5,1,2015,274.0521
2015-01-03 19:00:00,21,5,1,2015,273.88443
2015-01-03 20:00:00,22,5,1,2015,273.67545
2015-01-03 21:00:00,23,5,1,2015,273.51294
2015-01-03 22:00:00,0,6,1,2015,273.0393
2015-01-03 23:00:00,1,6,1,2015,272.91235
2015-01-04 00:00:00,2,6,1,2015,272.7123
2015-01-04 01:00:00,3,6,1,2015,272.4973
2015-01-04 02:00:00,4,6,1,2015,272.05884
2015-01-04 03:00:00,5,6,1,2015,271.7023
2015-01-04 04:00:00,6,6,1,2015,271.58878
2015-01-04 05:00:00,7,6,1,2015,271.329
2015-01-04 06:00:00,8,6,1,2015,271.17416
2015-01-04 07:00:00,9,6,1,2015,271.13794
2015-01-04 08:00:00,10,6,1,2015,270.89722
2015-01-04 09:00:00,11,6,1,2015,270.9318
2015-01-04 10:00:00,12,6,1,2015,271.11484
2015-01-04 11:00:00,13,6,1,2015,271.30103
2015-01-04 12:00:00,14,6,1,2015,271.31345
2015-01-04 13:00:00,15,6,1,2015,271.3486
