Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Temperature (K)
2014-12-31 23:00:00,0,3,1,2015,265.23337
2015-01-01 00:00:00,1,3,1,2015,265.1179
2015-01-01 01:00:00,2,3,1,2015,265.465
2015-01-01 02:00:00,3,3,1,2015,265.96976
2015-01-01 03:00:00,4,3,1,2015,266.2633
2015-01-01 04:00:00,5,3,1,2015,266.4475
2015-01-01 05:00:00,6,3,1,2015,266.89874
2015-01-01 06:00:00,7,3,1,2015,267.2139
2015-01-01 07:00:00,8,3,1,2015,267.6308
2015-01-01 08:00:00,9,3,1,2015,268.2651
2015-01-01 09:00:00,10,3,1,2015,268.92688
2015-01-01 10:00:00,11,3,1,2015,269.92474
2015-01-01 11:00:00,12,3,1,2015,270.4993
2015-01-01 12:00:00,13,3,1,2015,271.08264
2015-01-01 13:00:00,14,3,1,2015,271.19852
2015-01-01 14:00:00,15,3,1,2015,271.1411
2015-01-01 15:00:00,16,3,1,2015,269.65253
2015-01-01 16:00:00,17,3,1,2015,269.91635
2015-01-01 17:00:00,18,3,1,2015,269.82733
2015-01-01 18:00:00,19,3,1,2015,269.9376
2015-01-01 19:00:00,20,3,1,2015,270.293
2015-01-01 20:00:00,21,3,1,2015,270.49033
2015-01-01 21:00:00,22,3,1,2015,270.49384
2015-01-01 22:00:00,23,3,1,2015,269.95807
2015-01-01 23:00:00,0,4,1,2015,269.74478
2015-01-02 00:00:00,1,4,1,2015,270.09177
2015-01-02 01:00:00,2,4,1,2015,270.385
2015-01-02 02:00:00,3,4,1,2015,270.1346
2015-01-02 03:00:00,4,4,1,2015,269.99643
2015-01-02 04:00:00,5,4,1,2015,270.12662
2015-01-02 05:00:00,6,4,1,2015,270.23285
2015-01-02 06:00:00,7,4,1,2015,270.08145
2015-01-02 07:00:00,8,4,1,2015,270.29453
2015-01-02 08:00:00,9,4,1,2015,270.47244
2015-01-02 09:00:00,10,4,1,2015,271.046
2015-01-02 10:00:00,11,4,1,2015,271.8743
2015-01-02 11:00:00,12,4,1,2015,272.90436
2015-01-02 12:00:00,13,4,1,2015,273.78732
2015-01-02 13:00:00,14,4,1,2015,274.2862
2015-01-02 14:00:00,15,4,1,2015,274.06113
2015-01-02 15:00:00,16,4,1,2015,272.80603
2015-01-02 16:00:00,17,4,1,2015,272.42297
2015-01-02 17:00:00,18,4,1,2015,273.2008
2015-01-02 18:00:00,19,4,1,2015,273.93124
2015-01-02 19:00:00,20,4,1,2015,274.48383
2015-01-02 20:00:00,21,4,1,2015,275.02737
2015-01-02 21:00:00,22,4,1,2015,275.56708
2015-01-02 22:00:00,23,4,1,2015,276.02283
2015-01-02 23:00:00,0,5,1,2015,276.4621
2015-01-03 00:00:00,1,5,1,2015,276.24448
2015-01-03 01:00:00,2,5,1,2015,275.63605
2015-01-03 02:00:00,3,5,1,2015,275.1798
2015-01-03 03:00:00,4,5,1,2015,274.93564
2015-01-03 04:00:00,5,5,1,2015,274.867
2015-01-03 05:00:00,6,5,1,2015,275.27225
2015-01-03 06:00:00,7,5,1,2015,275.55084
2015-01-03 07:00:00,8,5,1,2015,275.6234
2015-01-03 08:00:00,9,5,1,2015,275.28476
2015-01-03 09:00:00,10,5,1,2015,275.43158
2015-01-03 10:00:00,11,5,1,2015,277.63055
2015-01-03 11:00:00,12,5,1,2015,278.2104
2015-01-03 12:00:00,13,5,1,2015,278.44028
2015-01-03 13:00:00,14,5,1,2015,278.42688
2015-01-03 14:00:00,15,5,1,2015,277.84485
2015-01-03 15:00:00,16,5,1,2015,276.76514
2015-01-03 16:00:00,17,5,1,2015,276.07635
2015-01-03 17:00:00,18,5,1,2015,275.38953
2015-01-03 18:00:00,19,5,1,2015,275.48502
2015-01-03 19:00:00,20,5,1,2015,275.20844
2015-01-03 20:00:00,21,5,1,2015,274.97754
2015-01-03 21:00:00,22,5,1,2015,274.49557
2015-01-03 22:00:00,23,5,1,2015,274.2448
2015-01-03 23:00:00,0,6,1,2015,274.01846
2015-01-04 00:00:00,1,6,1,2015,273.86337
2015-01-04 01:00:00,2,6,1,2015,273.50946
2015-01-04 02:00:00,3,6,1,2015,273.2155
2015-01-04 03:00:00,4,6,1,2015,273.60574
2015-01-04 04:00:00,5,6,1,2015,273.9143
2015-01-04 05:00:00,6,6,1,2015,274.11243
2015-01-04 06:00:00,7,6,1,2015,274.03027
2015-01-04 07:00:00,8,6,1,2015,274.3628
2015-01-04 08:00:00,9,6,1,2015,275.25662
2015-01-04 09:00:00,10,6,1,2015,276.1534
2015-01-04 10:00:00,11,6,1,2015,276.99286
2015-01-04 11:00:00,12,6,1,2015,277.67844
2015-01-04 12:00:00,13,6,1,2015,277.94165
2015-01-04 13:00:00,14,6,1,2015,278.0421
2015-01-04 14:00:00,15,6,1,2015,277.66647
2015-01-04 15:00:00,16,6,1,2015,276.90393
2015-01-04 16:00:00,17,6,1,2015,276.28915
2015-01-04 17:00:00,18,6,1,2015,275.8405
2015-01-04 18:00:00,19,6,1,2015,275.34863
2015-01-04 19:00:00,20,6,1,2015,275.0189
2015-01-04 20:00:00,21,6,1,2015,274.48428
2015-01-04 21:00:00,22,6,1,2015,274.16272
2015-01-04 22:00:00,23,6,1,2015,274.0495
2015-01-04 23:00:00,0,0,1,2015,273.58026
2015-01-05 00:00:00,1,0,1,2015,273.52863
2015-01-05 01:00:00,2,0,1,2015,273.3813
2015-01-05 02:00:00,3,0,1,2015,273.4533
2015-01-05 03:00:00,4,0,1,2015,273.3508
2015-01-05 04:00:00,5,0,1,2015,273.2286
2015-01-05 05:00:00,6,0,1,2015,273.08728
2015-01-05 06:00:00,7,0,1,2015,272.86194
2015-01-05 07:00:00,8,0,1,2015,272.57242
2015-01-05 08:00:00,9,0,1,2015,273.37756
2015-01-05 09:00:00,10,0,1,2015,274.29428
2015-01-05 10:00:00,11,0,1,2015,275.11304
