Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Temperature (K)
2015-01-01 00:00:00,0,3,1,2015,275.68646
2015-01-01 01:00:00,1,3,1,2015,276.14197
2015-01-01 02:00:00,2,3,1,2015,275.9964
2015-01-01 03:00:00,3,3,1,2015,274.34106
2015-01-01 04:00:00,4,3,1,2015,274.28363
2015-01-01 05:00:00,5,3,1,2015,273.86414
2015-01-01 06:00:00,6,3,1,2015,273.5679
2015-01-01 07:00:00,7,3,1,2015,272.97406
2015-01-01 08:00:00,8,3,1,2015,272.38995
2015-01-01 09:00:00,9,3,1,2015,271.92142
2015-01-01 10:00:00,10,3,1,2015,271.34167
2015-01-01 11:00:00,11,3,1,2015,271.91858
2015-01-01 12:00:00,12,3,1,2015,272.38605
2015-01-01 13:00:00,13,3,1,2015,272.13776
2015-01-01 14:00:00,14,3,1,2015,272.6192
2015-01-01 15:00:00,15,3,1,2015,272.9939
2015-01-01 16:00:00,16,3,1,2015,272.6926
2015-01-01 17:00:00,17,3,1,2015,271.46384
2015-01-01 18:00:00,18,3,1,2015,271.51355
2015-01-01 19:00:00,19,3,1,2015,270.64108
2015-01-01 20:00:00,20,3,1,2015,269.90198
2015-01-01 21:00:00,21,3,1,2015,270.04745
2015-01-01 22:00:00,22,3,1,2015,269.74734
2015-01-01 23:00:00,23,3,1,2015,269.3813
2015-01-02 00:00:00,0,4,1,2015,268.59372
2015-01-02 01:00:00,1,4,1,2015,268.49008
2015-01-02 02:00:00,2,4,1,2015,268.29257
2015-01-02 03:00:00,3,4,1,2015,269.13553
2015-01-02 04:00:00,4,4,1,2015,270.01376
2015-01-02 05:00:00,5,4,1,2015,269.87976
2015-01-02 06:00:00,6,4,1,2015,268.95035
2015-01-02 07:00:00,7,4,1,2015,269.3848
2015-01-02 08:00:00,8,4,1,2015,269.18185
2015-01-02 09:00:00,9,4,1,2015,268.86496
2015-01-02 10:00:00,10,4,1,2015,269.5824
2015-01-02 11:00:00,11,4,1,2015,269.26196
2015-01-02 12:00:00,12,4,1,2015,269.29556
2015-01-02 13:00:00,13,4,1,2015,271.0145
2015-01-02 14:00:00,14,4,1,2015,272.55655
2015-01-02 15:00:00,15,4,1,2015,273.14066
2015-01-02 16:00:00,16,4,1,2015,273.57098
2015-01-02 17:00:00,17,4,1,2015,274.34186
2015-01-02 18:00:00,18,4,1,2015,273.765
2015-01-02 19:00:00,19,4,1,2015,273.46646
2015-01-02 20:00:00,20,4,1,2015,271.6964
2015-01-02 21:00:00,21,4,1,2015,271.35223
2015-01-02 22:00:00,22,4,1,2015,272.88373
2015-01-02 23:00:00,23,4,1,2015,272.2093
2015-01-03 00:00:00,0,5,1,2015,272.14963
2015-01-03 01:00:00,1,5,1,2015,272.17834
2015-01-03 02:00:00,2,5,1,2015,271.5802
2015-01-03 03:00:00,3,5,1,2015,270.23032
2015-01-03 04:00:00,4,5,1,2015,270.24112
2015-01-03 05:00:00,5,5,1,2015,271.13983
2015-01-03 06:00:00,6,5,1,2015,271.80017
2015-01-03 07:00:00,7,5,1,2015,272.12515
2015-01-03 08:00:00,8,5,1,2015,272.1977
2015-01-03 09:00:00,9,5,1,2015,271.32587
2015-01-03 10:00:00,10,5,1,2015,272.06198
2015-01-03 11:00:00,11,5,1,2015,272.2384
