Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Temperature (K)
2014-12-31 23:00:00,0,3,1,2015,273.31064
2015-01-01 00:00:00,1,3,1,2015,273.20383
2015-01-01 01:00:00,2,3,1,2015,272.95935
2015-01-01 02:00:00,3,3,1,2015,272.8543
2015-01-01 03:00:00,4,3,1,2015,272.68106
2015-01-01 04:00:00,5,3,1,2015,272.5048
2015-01-01 05:00:00,6,3,1,2015,272.41544
2015-01-01 06:00:00,7,3,1,2015,272.41592
2015-01-01 07:00:00,8,3,1,2015,272.65076
2015-01-01 08:00:00,9,3,1,2015,273.6108
2015-01-01 09:00:00,10,3,1,2015,275.28015
2015-01-01 10:00:00,11,3,1,2015,277.4306
2015-01-01 11:00:00,12,3,1,2015,278.4025
2015-01-01 12:00:00,13,3,1,2015,278.9429
2015-01-01 13:00:00,14,3,1,2015,279.22348
2015-01-01 14:00:00,15,3,1,2015,279.24768
2015-01-01 15:00:00,16,3,1,2015,278.7267
2015-01-01 16:00:00,17,3,1,2015,277.5654
2015-01-01 17:00:00,18,3,1,2015,276.428
2015-01-01 18:00:00,19,3,1,2015,276.27457
2015-01-01 19:00:00,20,3,1,2015,276.05362
2015-01-01 20:00:00,21,3,1,2015,275.77417
2015-01-01 21:00:00,22,3,1,2015,275.6644
2015-01-01 22:00:00,23,3,1,2015,275.40292
2015-01-01 23:00:00,0,4,1,2015,275.55035
2015-01-02 00:00:00,1,4,1,2015,275.48044
2015-01-02 01:00:00,2,4,1,2015,275.4282
2015-01-02 02:00:00,3,4,1,2015,275.15564
2015-01-02 03:00:00,4,4,1,2015,275.1976
2015-01-02 04:00:00,5,4,1,2015,275.27307
2015-01-02 05:00:00,6,4,1,2015,275.07678
2015-01-02 06:00:00,7,4,1,2015,275.14587
2015-01-02 07:00:00,8,4,1,2015,275.10397
2015-01-02 08:00:00,9,4,1,2015,276.4349
2015-01-02 09:00:00,10,4,1,2015,278.23215
2015-01-02 10:00:00,11,4,1,2015,280.60043
2015-01-02 11:00:00,12,4,1,2015,281.8698
2015-01-02 12:00:00,13,4,1,2015,282.55188
2015-01-02 13:00:00,14,4,1,2015,283.04138
2015-01-02 14:00:00,15,4,1,2015,283.06827
2015-01-02 15:00:00,16,4,1,2015,282.4729
2015-01-02 16:00:00,17,4,1,2015,281.3405
2015-01-02 17:00:00,18,4,1,2015,279.586
2015-01-02 18:00:00,19,4,1,2015,279.15237
2015-01-02 19:00:00,20,4,1,2015,278.89334
2015-01-02 20:00:00,21,4,1,2015,278.68494
2015-01-02 21:00:00,22,4,1,2015,278.37936
2015-01-02 22:00:00,23,4,1,2015,278.23874
2015-01-02 23:00:00,0,5,1,2015,278.0708
2015-01-03 00:00:00,1,5,1,2015,278.0131
2015-01-03 01:00:00,2,5,1,2015,278.08524
2015-01-03 02:00:00,3,5,1,2015,277.96887
2015-01-03 03:00:00,4,5,1,2015,278.06732
2015-01-03 04:00:00,5,5,1,2015,278.00046
2015-01-03 05:00:00,6,5,1,2015,277.98965
2015-01-03 06:00:00,7,5,1,2015,277.85074
2015-01-03 07:00:00,8,5,1,2015,277.83154
2015-01-03 08:00:00,9,5,1,2015,278.20248
2015-01-03 09:00:00,10,5,1,2015,278.46173
2015-01-03 10:00:00,11,5,1,2015,282.43546
2015-01-03 11:00:00,12,5,1,2015,283.43954
2015-01-03 12:00:00,13,5,1,2015,284.0596
2015-01-03 13:00:00,14,5,1,2015,284.26605
2015-01-03 14:00:00,15,5,1,2015,283.9414
2015-01-03 15:00:00,16,5,1,2015,283.4943
