Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Temperature (K)
2014-12-31 21:00:00,0,3,1,2015,294.5684
2014-12-31 22:00:00,1,3,1,2015,292.95917
2014-12-31 23:00:00,2,3,1,2015,292.78494
2015-01-01 00:00:00,3,3,1,2015,291.98422
2015-01-01 01:00:00,4,3,1,2015,291.73288
2015-01-01 02:00:00,5,3,1,2015,291.04803
2015-01-01 03:00:00,6,3,1,2015,291.1735
2015-01-01 04:00:00,7,3,1,2015,291.38586
2015-01-01 05:00:00,8,3,1,2015,293.7029
2015-01-01 06:00:00,9,3,1,2015,296.50906
2015-01-01 07:00:00,10,3,1,2015,297.11426
2015-01-01 08:00:00,11,3,1,2015,298.1679
2015-01-01 09:00:00,12,3,1,2015,300.47546
2015-01-01 10:00:00,13,3,1,2015,301.8948
2015-01-01 11:00:00,14,3,1,2015,302.60455
2015-01-01 12:00:00,15,3,1,2015,302.82962
2015-01-01 13:00:00,16,3,1,2015,302.20242
2015-01-01 14:00:00,17,3,1,2015,301.99527
2015-01-01 15:00:00,18,3,1,2015,299.8973
2015-01-01 16:00:00,19,3,1,2015,298.52698
2015-01-01 17:00:00,20,3,1,2015,298.13156
2015-01-01 18:00:00,21,3,1,2015,296.9063
2015-01-01 19:00:00,22,3,1,2015,295.28952
2015-01-01 20:00:00,23,3,1,2015,295.1164
2015-01-01 21:00:00,0,4,1,2015,294.87097
2015-01-01 22:00:00,1,4,1,2015,293.09216
2015-01-01 23:00:00,2,4,1,2015,292.44965
2015-01-02 00:00:00,3,4,1,2015,291.42987
2015-01-02 01:00:00,4,4,1,2015,290.87958
2015-01-02 02:00:00,5,4,1,2015,290.87134
2015-01-02 03:00:00,6,4,1,2015,290.9352
2015-01-02 04:00:00,7,4,1,2015,291.22665
2015-01-02 05:00:00,8,4,1,2015,294.22632
2015-01-02 06:00:00,9,4,1,2015,297.01135
2015-01-02 07:00:00,10,4,1,2015,298.36353
2015-01-02 08:00:00,11,4,1,2015,299.8036
2015-01-02 09:00:00,12,4,1,2015,300.4854
2015-01-02 10:00:00,13,4,1,2015,302.76688
2015-01-02 11:00:00,14,4,1,2015,303.23462
2015-01-02 12:00:00,15,4,1,2015,303.40277
2015-01-02 13:00:00,16,4,1,2015,303.40988
2015-01-02 14:00:00,17,4,1,2015,303.17874
2015-01-02 15:00:00,18,4,1,2015,302.4054
2015-01-02 16:00:00,19,4,1,2015,300.1376
2015-01-02 17:00:00,20,4,1,2015,298.93973
2015-01-02 18:00:00,21,4,1,2015,297.8963
2015-01-02 19:00:00,22,4,1,2015,297.0062
2015-01-02 20:00:00,23,4,1,2015,295.5914
2015-01-02 21:00:00,0,5,1,2015,294.89563
2015-01-02 22:00:00,1,5,1,2015,293.76544
2015-01-02 23:00:00,2,5,1,2015,293.1105
2015-01-03 00:00:00,3,5,1,2015,291.9443
2015-01-03 01:00:00,4,5,1,2015,290.9637
2015-01-03 02:00:00,5,5,1,2015,291.53528
2015-01-03 03:00:00,6,5,1,2015,291.56384
2015-01-03 04:00:00,7,5,1,2015,292.21378
2015-01-03 05:00:00,8,5,1,2015,293.90634
2015-01-03 06:00:00,9,5,1,2015,297.11746
2015-01-03 07:00:00,10,5,1,2015,298.1486
2015-01-03 08:00:00,11,5,1,2015,298.80817
2015-01-03 09:00:00,12,5,1,2015,299.44284
2015-01-03 10:00:00,13,5,1,2015,303.2842
2015-01-03 11:00:00,14,5,1,2015,303.59406
2015-01-03 12:00:00,15,5,1,2015,304.23474
2015-01-03 13:00:00,16,5,1,2015,304.1172
2015-01-03 14:00:00,17,5,1,2015,303.67166
2015-01-03 15:00:00,18,5,1,2015,301.70612
2015-01-03 16:00:00,19,5,1,2015,300.58527
2015-01-03 17:00:00,20,5,1,2015,299.38562
2015-01-03 18:00:00,21,5,1,2015,298.22067
2015-01-03 19:00:00,22,5,1,2015,296.14636
2015-01-03 20:00:00,23,5,1,2015,295.42957
2015-01-03 21:00:00,0,6,1,2015,294.8328
2015-01-03 22:00:00,1,6,1,2015,293.10266
2015-01-03 23:00:00,2,6,1,2015,292.75696
2015-01-04 00:00:00,3,6,1,2015,292.28305
2015-01-04 01:00:00,4,6,1,2015,291.84085
2015-01-04 02:00:00,5,6,1,2015,291.714
2015-01-04 03:00:00,6,6,1,2015,291.52673
2015-01-04 04:00:00,7,6,1,2015,292.25134
2015-01-04 05:00:00,8,6,1,2015,294.39804
2015-01-04 06:00:00,9,6,1,2015,297.25467
2015-01-04 07:00:00,10,6,1,2015,298.89728
2015-01-04 08:00:00,11,6,1,2015,300.328
2015-01-04 09:00:00,12,6,1,2015,301.11084
2015-01-04 10:00:00,13,6,1,2015,303.14456
2015-01-04 11:00:00,14,6,1,2015,303.73135
2015-01-04 12:00:00,15,6,1,2015,304.15063
2015-01-04 13:00:00,16,6,1,2015,303.57272
2015-01-04 14:00:00,17,6,1,2015,303.55646
2015-01-04 15:00:00,18,6,1,2015,301.85507
2015-01-04 16:00:00,19,6,1,2015,299.63376
2015-01-04 17:00:00,20,6,1,2015,298.3904
2015-01-04 18:00:00,21,6,1,2015,297.70996
2015-01-04 19:00:00,22,6,1,2015,296.5551
2015-01-04 20:00:00,23,6,1,2015,295.32867
2015-01-04 21:00:00,0,0,1,2015,294.5186
2015-01-04 22:00:00,1,0,1,2015,293.5586
2015-01-04 23:00:00,2,0,1,2015,293.35825
2015-01-05 00:00:00,3,0,1,2015,293.0963
2015-01-05 01:00:00,4,0,1,2015,292.53363
2015-01-05 02:00:00,5,0,1,2015,292.30463
2015-01-05 03:00:00,6,0,1,2015,292.2707
2015-01-05 04:00:00,7,0,1,2015,292.32428
2015-01-05 05:00:00,8,0,1,2015,294.60376
2015-01-05 06:00:00,9,0,1,2015,297.21066
2015-01-05 07:00:00,10,0,1,2015,298.06653
2015-01-05 08:00:00,11,0,1,2015,300.26318
2015-01-05 09:00:00,12,0,1,2015,300.88107
2015-01-05 10:00:00,13,0,1,2015,303.396
2015-01-05 11:00:00,14,0,1,2015,303.69476
2015-01-05 12:00:00,15,0,1,2015,303.52307
2015-01-05 13:00:00,16,0,1,2015,303.49786
2015-01-05 14:00:00,17,0,1,2015,301.88248
2015-01-05 15:00:00,18,0,1,2015,300.9401
2015-01-05 16:00:00,19,0,1,2015,300.01367
2015-01-05 17:00:00,20,0,1,2015,297.9893
2015-01-05 18:00:00,21,0,1,2015,297.08707
2015-01-05 19:00:00,22,0,1,2015,296.598
2015-01-05 20:00:00,23,0,1,2015,295.83978
2015-01-05 21:00:00,0,1,1,2015,295.222
2015-01-05 22:00:00,1,1,1,2015,294.18088
