Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Temperature (K)
2014-12-31 15:00:00,0,3,1,2015,267.51718
2014-12-31 16:00:00,1,3,1,2015,267.46283
2014-12-31 17:00:00,2,3,1,2015,266.1453
2014-12-31 18:00:00,3,3,1,2015,266.19666
2014-12-31 19:00:00,4,3,1,2015,266.26242
2014-12-31 20:00:00,5,3,1,2015,265.9831
2014-12-31 21:00:00,6,3,1,2015,265.5714
2014-12-31 22:00:00,7,3,1,2015,265.35764
2014-12-31 23:00:00,8,3,1,2015,265.3484
2015-01-01 00:00:00,9,3,1,2015,265.39
2015-01-01 01:00:00,10,3,1,2015,265.48547
2015-01-01 02:00:00,11,3,1,2015,267.55087
2015-01-01 03:00:00,12,3,1,2015,267.7423
2015-01-01 04:00:00,13,3,1,2015,267.8123
2015-01-01 05:00:00,14,3,1,2015,269.17578
2015-01-01 06:00:00,15,3,1,2015,269.312
2015-01-01 07:00:00,16,3,1,2015,269.33322
2015-01-01 08:00:00,17,3,1,2015,267.8808
2015-01-01 09:00:00,18,3,1,2015,267.88516
2015-01-01 10:00:00,19,3,1,2015,266.7726
2015-01-01 11:00:00,20,3,1,2015,266.5477
2015-01-01 12:00:00,21,3,1,2015,266.41013
2015-01-01 13:00:00,22,3,1,2015,266.41705
2015-01-01 14:00:00,23,3,1,2015,266.0431
2015-01-01 15:00:00,0,4,1,2015,266.21628
2015-01-01 16:00:00,1,4,1,2015,266.42957
2015-01-01 17:00:00,2,4,1,2015,266.43115
2015-01-01 18:00:00,3,4,1,2015,266.57147
2015-01-01 19:00:00,4,4,1,2015,266.64313
2015-01-01 20:00:00,5,4,1,2015,266.10556
2015-01-01 21:00:00,6,4,1,2015,266.213
2015-01-01 22:00:00,7,4,1,2015,266.45932
2015-01-01 23:00:00,8,4,1,2015,266.09595
2015-01-02 00:00:00,9,4,1,2015,266.3197
2015-01-02 01:00:00,10,4,1,2015,266.1625
2015-01-02 02:00:00,11,4,1,2015,269.89108
2015-01-02 03:00:00,12,4,1,2015,270.20627
2015-01-02 04:00:00,13,4,1,2015,270.26202
2015-01-02 05:00:00,14,4,1,2015,271.62692
2015-01-02 06:00:00,15,4,1,2015,271.72943
2015-01-02 07:00:00,16,4,1,2015,271.793
2015-01-02 08:00:00,17,4,1,2015,270.10852
2015-01-02 09:00:00,18,4,1,2015,269.90164
2015-01-02 10:00:00,19,4,1,2015,268.00864
2015-01-02 11:00:00,20,4,1,2015,267.987
2015-01-02 12:00:00,21,4,1,2015,267.9039
2015-01-02 13:00:00,22,4,1,2015,267.91843
2015-01-02 14:00:00,23,4,1,2015,266.44357
2015-01-02 15:00:00,0,5,1,2015,266.31555
2015-01-02 16:00:00,1,5,1,2015,266.0177
2015-01-02 17:00:00,2,5,1,2015,264.6453
2015-01-02 18:00:00,3,5,1,2015,264.81696
2015-01-02 19:00:00,4,5,1,2015,265.96652
2015-01-02 20:00:00,5,5,1,2015,265.1055
2015-01-02 21:00:00,6,5,1,2015,265.28046
2015-01-02 22:00:00,7,5,1,2015,266.35803
2015-01-02 23:00:00,8,5,1,2015,264.83817
2015-01-03 00:00:00,9,5,1,2015,265.73892
2015-01-03 01:00:00,10,5,1,2015,266.5505
2015-01-03 02:00:00,11,5,1,2015,271.99448
2015-01-03 03:00:00,12,5,1,2015,272.15717
2015-01-03 04:00:00,13,5,1,2015,272.28735
2015-01-03 05:00:00,14,5,1,2015,275.17935
2015-01-03 06:00:00,15,5,1,2015,275.5348
2015-01-03 07:00:00,16,5,1,2015,275.65186
2015-01-03 08:00:00,17,5,1,2015,275.6046
2015-01-03 09:00:00,18,5,1,2015,274.16223
2015-01-03 10:00:00,19,5,1,2015,272.9858
2015-01-03 11:00:00,20,5,1,2015,273.41153
2015-01-03 12:00:00,21,5,1,2015,273.48972
2015-01-03 13:00:00,22,5,1,2015,273.48242
2015-01-03 14:00:00,23,5,1,2015,273.61285
2015-01-03 15:00:00,0,6,1,2015,273.07092
2015-01-03 16:00:00,1,6,1,2015,273.40927
2015-01-03 17:00:00,2,6,1,2015,273.32184
2015-01-03 18:00:00,3,6,1,2015,273.3624
2015-01-03 19:00:00,4,6,1,2015,273.13724
2015-01-03 20:00:00,5,6,1,2015,273.02094
2015-01-03 21:00:00,6,6,1,2015,273.0448
2015-01-03 22:00:00,7,6,1,2015,273.20728
2015-01-03 23:00:00,8,6,1,2015,273.62155
2015-01-04 00:00:00,9,6,1,2015,273.6051
2015-01-04 01:00:00,10,6,1,2015,273.84216
2015-01-04 02:00:00,11,6,1,2015,277.56818
2015-01-04 03:00:00,12,6,1,2015,278.35074
2015-01-04 04:00:00,13,6,1,2015,278.5419
2015-01-04 05:00:00,14,6,1,2015,280.60593
2015-01-04 06:00:00,15,6,1,2015,280.4986
2015-01-04 07:00:00,16,6,1,2015,280.4218
2015-01-04 08:00:00,17,6,1,2015,277.26465
2015-01-04 09:00:00,18,6,1,2015,275.85608
2015-01-04 10:00:00,19,6,1,2015,274.89087
2015-01-04 11:00:00,20,6,1,2015,274.80884
2015-01-04 12:00:00,21,6,1,2015,274.58163
2015-01-04 13:00:00,22,6,1,2015,274.37155
