Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Temperature (K)
2014-12-31 23:00:00,0,3,1,2015,274.31207
2015-01-01 00:00:00,1,3,1,2015,274.55713
2015-01-01 01:00:00,2,3,1,2015,275.0276
2015-01-01 02:00:00,3,3,1,2015,275.62747
2015-01-01 03:00:00,4,3,1,2015,276.042
2015-01-01 04:00:00,5,3,1,2015,276.4822
2015-01-01 05:00:00,6,3,1,2015,276.5319
2015-01-01 06:00:00,7,3,1,2015,276.8461
2015-01-01 07:00:00,8,3,1,2015,276.98123
2015-01-01 08:00:00,9,3,1,2015,277.12433
2015-01-01 09:00:00,10,3,1,2015,277.20657
2015-01-01 10:00:00,11,3,1,2015,278.15027
2015-01-01 11:00:00,12,3,1,2015,278.4435
2015-01-01 12:00:00,13,3,1,2015,278.37
2015-01-01 13:00:00,14,3,1,2015,278.2903
2015-01-01 14:00:00,15,3,1,2015,278.35944
2015-01-01 15:00:00,16,3,1,2015,278.03772
2015-01-01 16:00:00,17,3,1,2015,278.18674
2015-01-01 17:00:00,18,3,1,2015,278.49875
2015-01-01 18:00:00,19,3,1,2015,278.62094
2015-01-01 19:00:00,20,3,1,2015,278.93774
2015-01-01 20:00:00,21,3,1,2015,279.2633
2015-01-01 21:00:00,22,3,1,2015,279.56976
2015-01-01 22:00:00,23,3,1,2015,279.74277
2015-01-01 23:00:00,0,4,1,2015,280.09656
2015-01-02 00:00:00,1,4,1,2015,280.20007
2015-01-02 01:00:00,2,4,1,2015,280.03345
2015-01-02 02:00:00,3,4,1,2015,279.6947
2015-01-02 03:00:00,4,4,1,2015,279.42416
2015-01-02 04:00:00,5,4,1,2015,279.3343
2015-01-02 05:00:00,6,4,1,2015,279.16907
2015-01-02 06:00:00,7,4,1,2015,278.6548
2015-01-02 07:00:00,8,4,1,2015,278.38348
2015-01-02 08:00:00,9,4,1,2015,278.00717
2015-01-02 09:00:00,10,4,1,2015,277.70068
2015-01-02 10:00:00,11,4,1,2015,277.827
2015-01-02 11:00:00,12,4,1,2015,278.01846
2015-01-02 12:00:00,13,4,1,2015,277.9781
2015-01-02 13:00:00,14,4,1,2015,277.90707
2015-01-02 14:00:00,15,4,1,2015,277.49255
2015-01-02 15:00:00,16,4,1,2015,277.19516
2015-01-02 16:00:00,17,4,1,2015,277.0135
2015-01-02 17:00:00,18,4,1,2015,276.80017
2015-01-02 18:00:00,19,4,1,2015,276.5658
2015-01-02 19:00:00,20,4,1,2015,276.3992
2015-01-02 20:00:00,21,4,1,2015,276.53693
2015-01-02 21:00:00,22,4,1,2015,276.7303
2015-01-02 22:00:00,23,4,1,2015,276.64825
2015-01-02 23:00:00,0,5,1,2015,276.80325
2015-01-03 00:00:00,1,5,1,2015,277.00598
2015-01-03 01:00:00,2,5,1,2015,277.1239
2015-01-03 02:00:00,3,5,1,2015,276.97647
2015-01-03 03:00:00,4,5,1,2015,276.76788
2015-01-03 04:00:00,5,5,1,2015,276.45056
2015-01-03 05:00:00,6,5,1,2015,276.1097
2015-01-03 06:00:00,7,5,1,2015,275.87375
2015-01-03 07:00:00,8,5,1,2015,275.28076
2015-01-03 08:00:00,9,5,1,2015,275.12134
2015-01-03 09:00:00,10,5,1,2015,275.02032
2015-01-03 10:00:00,11,5,1,2015,274.93698
2015-01-03 11:00:00,12,5,1,2015,275.1381
2015-01-03 12:00:00,13,5,1,2015,275.46497
2015-01-03 13:00:00,14,5,1,2015,275.52994
2015-01-03 14:00:00,15,5,1,2015,274.99133
2015-01-03 15:00:00,16,5,1,2015,274.4142
2015-01-03 16:00:00,17,5,1,2015,274.2849
2015-01-03 17:00:00,18,5,1,2015,274.0803
2015-01-03 18:00:00,19,5,1,2015,273.77405
2015-01-03 19:00:00,20,5,1,2015,273.44952
2015-01-03 20:00:00,21,5,1,2015,273.58258
2015-01-03 21:00:00,22,5,1,2015,273.71323
2015-01-03 22:00:00,23,5,1,2015,273.48636
2015-01-03 23:00:00,0,6,1,2015,273.56882
2015-01-04 00:00:00,1,6,1,2015,273.5671
2015-01-04 01:00:00,2,6,1,2015,273.52597
2015-01-04 02:00:00,3,6,1,2015,273.48047
2015-01-04 03:00:00,4,6,1,2015,273.7956
2015-01-04 04:00:00,5,6,1,2015,273.3097
2015-01-04 05:00:00,6,6,1,2015,272.95532
2015-01-04 06:00:00,7,6,1,2015,272.88052
2015-01-04 07:00:00,8,6,1,2015,272.53204
2015-01-04 08:00:00,9,6,1,2015,272.2386
2015-01-04 09:00:00,10,6,1,2015,272.55573
