Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Temperature (K)
2014-12-31 23:00:00,0,3,1,2015,272.30368
2015-01-01 00:00:00,1,3,1,2015,272.42606
2015-01-01 01:00:00,2,3,1,2015,272.39346
2015-01-01 02:00:00,3,3,1,2015,272.57257
2015-01-01 03:00:00,4,3,1,2015,272.77963
2015-01-01 04:00:00,5,3,1,2015,273.00977
2015-01-01 05:00:00,6,3,1,2015,273.27084
2015-01-01 06:00:00,7,3,1,2015,273.50427
2015-01-01 07:00:00,8,3,1,2015,273.73145
2015-01-01 08:00:00,9,3,1,2015,273.9175
2015-01-01 09:00:00,10,3,1,2015,274.1152
2015-01-01 10:00:00,11,3,1,2015,274.40808
2015-01-01 11:00:00,12,3,1,2015,274.54898
2015-01-01 12:00:00,13,3,1,2015,274.67227
2015-01-01 13:00:00,14,3,1,2015,274.7202
2015-01-01 14:00:00,15,3,1,2015,274.7366
2015-01-01 15:00:00,16,3,1,2015,274.4225
2015-01-01 16:00:00,17,3,1,2015,274.23383
2015-01-01 17:00:00,18,3,1,2015,273.96536
2015-01-01 18:00:00,19,3,1,2015,273.7694
2015-01-01 19:00:00,20,3,1,2015,273.5421
2015-01-01 20:00:00,21,3,1,2015,273.27502
2015-01-01 21:00:00,22,3,1,2015,273.25623
2015-01-01 22:00:00,23,3,1,2015,273.37708
2015-01-01 23:00:00,0,4,1,2015,273.37045
2015-01-02 00:00:00,1,4,1,2015,273.44485
2015-01-02 01:00:00,2,4,1,2015,273.63977
2015-01-02 02:00:00,3,4,1,2015,273.99677
2015-01-02 03:00:00,4,4,1,2015,274.25684
2015-01-02 04:00:00,5,4,1,2015,274.44864
2015-01-02 05:00:00,6,4,1,2015,274.76648
2015-01-02 06:00:00,7,4,1,2015,274.92975
2015-01-02 07:00:00,8,4,1,2015,275.33337
2015-01-02 08:00:00,9,4,1,2015,275.96985
2015-01-02 09:00:00,10,4,1,2015,276.7712
2015-01-02 10:00:00,11,4,1,2015,277.26297
2015-01-02 11:00:00,12,4,1,2015,277.39218
2015-01-02 12:00:00,13,4,1,2015,277.41797
2015-01-02 13:00:00,14,4,1,2015,277.21936
2015-01-02 14:00:00,15,4,1,2015,277.13446
2015-01-02 15:00:00,16,4,1,2015,277.10248
2015-01-02 16:00:00,17,4,1,2015,277.24374
2015-01-02 17:00:00,18,4,1,2015,277.4562
2015-01-02 18:00:00,19,4,1,2015,277.37872
2015-01-02 19:00:00,20,4,1,2015,277.20474
2015-01-02 20:00:00,21,4,1,2015,276.9076
2015-01-02 21:00:00,22,4,1,2015,276.75848
2015-01-02 22:00:00,23,4,1,2015,276.7774
2015-01-02 23:00:00,0,5,1,2015,276.78067
2015-01-03 00:00:00,1,5,1,2015,276.87598
2015-01-03 01:00:00,2,5,1,2015,276.92575
2015-01-03 02:00:00,3,5,1,2015,276.9999
2015-01-03 03:00:00,4,5,1,2015,276.8712
2015-01-03 04:00:00,5,5,1,2015,276.88416
2015-01-03 05:00:00,6,5,1,2015,276.6566
2015-01-03 06:00:00,7,5,1,2015,276.49615
2015-01-03 07:00:00,8,5,1,2015,276.26968
2015-01-03 08:00:00,9,5,1,2015,276.31122
2015-01-03 09:00:00,10,5,1,2015,276.3439
2015-01-03 10:00:00,11,5,1,2015,276.9372
2015-01-03 11:00:00,12,5,1,2015,277.08148
2015-01-03 12:00:00,13,5,1,2015,277.12646
2015-01-03 13:00:00,14,5,1,2015,277.05905
2015-01-03 14:00:00,15,5,1,2015,276.8197
2015-01-03 15:00:00,16,5,1,2015,276.41812
2015-01-03 16:00:00,17,5,1,2015,276.1597
2015-01-03 17:00:00,18,5,1,2015,276.0844
2015-01-03 18:00:00,19,5,1,2015,275.8303
2015-01-03 19:00:00,20,5,1,2015,275.27203
2015-01-03 20:00:00,21,5,1,2015,275.01575
2015-01-03 21:00:00,22,5,1,2015,274.81784
2015-01-03 22:00:00,23,5,1,2015,274.38
2015-01-03 23:00:00,0,6,1,2015,274.3707
2015-01-04 00:00:00,1,6,1,2015,274.35947
2015-01-04 01:00:00,2,6,1,2015,274.50403
2015-01-04 02:00:00,3,6,1,2015,274.51218
2015-01-04 03:00:00,4,6,1,2015,274.56256
2015-01-04 04:00:00,5,6,1,2015,274.66757
2015-01-04 05:00:00,6,6,1,2015,274.7192
2015-01-04 06:00:00,7,6,1,2015,274.72427
2015-01-04 07:00:00,8,6,1,2015,274.73236
2015-01-04 08:00:00,9,6,1,2015,274.8189
2015-01-04 09:00:00,10,6,1,2015,275.10046
2015-01-04 10:00:00,11,6,1,2015,275.49112
2015-01-04 11:00:00,12,6,1,2015,275.67627
2015-01-04 12:00:00,13,6,1,2015,275.6207
2015-01-04 13:00:00,14,6,1,2015,275.44836
2015-01-04 14:00:00,15,6,1,2015,275.0534
2015-01-04 15:00:00,16,6,1,2015,274.46448
2015-01-04 16:00:00,17,6,1,2015,274.28198
2015-01-04 17:00:00,18,6,1,2015,274.2164
2015-01-04 18:00:00,19,6,1,2015,274.20648
2015-01-04 19:00:00,20,6,1,2015,274.27734
2015-01-04 20:00:00,21,6,1,2015,274.12122
2015-01-04 21:00:00,22,6,1,2015,274.05853
2015-01-04 22:00:00,23,6,1,2015,274.09985
2015-01-04 23:00:00,0,0,1,2015,273.9633
2015-01-05 00:00:00,1,0,1,2015,273.7528
2015-01-05 01:00:00,2,0,1,2015,273.46246
2015-01-05 02:00:00,3,0,1,2015,273.2157
2015-01-05 03:00:00,4,0,1,2015,272.90765
2015-01-05 04:00:00,5,0,1,2015,272.65762
2015-01-05 05:00:00,6,0,1,2015,272.5771
2015-01-05 06:00:00,7,0,1,2015,272.34937
2015-01-05 07:00:00,8,0,1,2015,272.30832
2015-01-05 08:00:00,9,0,1,2015,272.67593
2015-01-05 09:00:00,10,0,1,2015,273.2079
2015-01-05 10:00:00,11,0,1,2015,274.1163
2015-01-05 11:00:00,12,0,1,2015,274.4719
2015-01-05 12:00:00,13,0,1,2015,274.52286
2015-01-05 13:00:00,14,0,1,2015,274.4117
2015-01-05 14:00:00,15,0,1,2015,274.06436
2015-01-05 15:00:00,16,0,1,2015,273.58313
2015-01-05 16:00:00,17,0,1,2015,273.21463
2015-01-05 17:00:00,18,0,1,2015,272.90747
2015-01-05 18:00:00,19,0,1,2015,272.97293
2015-01-05 19:00:00,20,0,1,2015,273.03027
2015-01-05 20:00:00,21,0,1,2015,273.09567
