Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Electricity demand [MW]
2014-12-31 23:00:00,0,3,1,2015,24405.0
2015-01-01 00:00:00,1,3,1,2015,23126.0
2015-01-01 01:00:00,2,3,1,2015,21534.0
2015-01-01 02:00:00,3,3,1,2015,20219.0
2015-01-01 03:00:00,4,3,1,2015,19470.0
2015-01-01 04:00:00,5,3,1,2015,19485.0
2015-01-01 05:00:00,6,3,1,2015,20349.0
2015-01-01 06:00:00,7,3,1,2015,20715.0
2015-01-01 07:00:00,8,3,1,2015,21092.0
2015-01-01 08:00:00,9,3,1,2015,22776.0
2015-01-01 09:00:00,10,3,1,2015,24243.0
2015-01-01 10:00:00,11,3,1,2015,25601.0
2015-01-01 11:00:00,12,3,1,2015,25790.0
2015-01-01 12:00:00,13,3,1,2015,24249.0
2015-01-01 13:00:00,14,3,1,2015,23416.0
2015-01-01 14:00:00,15,3,1,2015,23716.0
2015-01-01 15:00:00,16,3,1,2015,25405.0
2015-01-01 16:00:00,17,3,1,2015,29787.0
2015-01-01 17:00:00,18,3,1,2015,30946.0
2015-01-01 18:00:00,19,3,1,2015,31359.0
2015-01-01 19:00:00,20,3,1,2015,30611.0
2015-01-01 20:00:00,21,3,1,2015,29168.0
2015-01-01 21:00:00,22,3,1,2015,26859.0
2015-01-01 22:00:00,23,3,1,2015,24116.0
2015-01-01 23:00:00,0,4,1,2015,21568.0
2015-01-02 00:00:00,1,4,1,2015,19764.0
2015-01-02 01:00:00,2,4,1,2015,18755.0
2015-01-02 02:00:00,3,4,1,2015,18412.0
2015-01-02 03:00:00,4,4,1,2015,18558.0
2015-01-02 04:00:00,5,4,1,2015,19810.0
2015-01-02 05:00:00,6,4,1,2015,22878.0
2015-01-02 06:00:00,7,4,1,2015,26190.0
2015-01-02 07:00:00,8,4,1,2015,29053.0
2015-01-02 08:00:00,9,4,1,2015,31535.0
2015-01-02 09:00:00,10,4,1,2015,31804.0
2015-01-02 10:00:00,11,4,1,2015,31496.0
2015-01-02 11:00:00,12,4,1,2015,30827.0
2015-01-02 12:00:00,13,4,1,2015,29624.0
2015-01-02 13:00:00,14,4,1,2015,30125.0
2015-01-02 14:00:00,15,4,1,2015,31251.0
2015-01-02 15:00:00,16,4,1,2015,33396.0
2015-01-02 16:00:00,17,4,1,2015,38291.0
2015-01-02 17:00:00,18,4,1,2015,38662.0
2015-01-02 18:00:00,19,4,1,2015,38219.0
2015-01-02 19:00:00,20,4,1,2015,35572.0
2015-01-02 20:00:00,21,4,1,2015,32695.0
2015-01-02 21:00:00,22,4,1,2015,29068.0
2015-01-02 22:00:00,23,4,1,2015,25909.0
