Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Electricity demand [MW]
2014-12-31 23:00:00,0,3,1,2015,15557.0
2015-01-01 00:00:00,1,3,1,2015,14727.0
2015-01-01 01:00:00,2,3,1,2015,13979.0
2015-01-01 02:00:00,3,3,1,2015,13454.0
2015-01-01 03:00:00,4,3,1,2015,13306.0
2015-01-01 04:00:00,5,3,1,2015,13176.0
2015-01-01 05:00:00,6,3,1,2015,13165.0
2015-01-01 06:00:00,7,3,1,2015,13030.0
2015-01-01 07:00:00,8,3,1,2015,12945.0
2015-01-01 08:00:00,9,3,1,2015,13455.0
2015-01-01 09:00:00,10,3,1,2015,14095.0
2015-01-01 10:00:00,11,3,1,2015,14718.0
2015-01-01 11:00:00,12,3,1,2015,15188.0
2015-01-01 12:00:00,13,3,1,2015,15637.0
2015-01-01 13:00:00,14,3,1,2015,15699.0
2015-01-01 14:00:00,15,3,1,2015,15882.0
2015-01-01 15:00:00,16,3,1,2015,17216.0
2015-01-01 16:00:00,17,3,1,2015,17646.0
2015-01-01 17:00:00,18,3,1,2015,17544.0
2015-01-01 18:00:00,19,3,1,2015,17553.0
2015-01-01 19:00:00,20,3,1,2015,17264.0
2015-01-01 20:00:00,21,3,1,2015,16560.0
2015-01-01 21:00:00,22,3,1,2015,15860.0
2015-01-01 22:00:00,23,3,1,2015,14706.0
2015-01-01 23:00:00,0,4,1,2015,13721.0
2015-01-02 00:00:00,1,4,1,2015,13258.0
2015-01-02 01:00:00,2,4,1,2015,13011.0
2015-01-02 02:00:00,3,4,1,2015,13007.0
2015-01-02 03:00:00,4,4,1,2015,13241.0
2015-01-02 04:00:00,5,4,1,2015,13986.0
2015-01-02 05:00:00,6,4,1,2015,15720.0
2015-01-02 06:00:00,7,4,1,2015,16900.0
2015-01-02 07:00:00,8,4,1,2015,17783.0
2015-01-02 08:00:00,9,4,1,2015,18763.0
2015-01-02 09:00:00,10,4,1,2015,19358.0
2015-01-02 10:00:00,11,4,1,2015,19744.0
2015-01-02 11:00:00,12,4,1,2015,20031.0
2015-01-02 12:00:00,13,4,1,2015,20492.0
2015-01-02 13:00:00,14,4,1,2015,20394.0
2015-01-02 14:00:00,15,4,1,2015,20516.0
2015-01-02 15:00:00,16,4,1,2015,21504.0
2015-01-02 16:00:00,17,4,1,2015,21449.0
2015-01-02 17:00:00,18,4,1,2015,21110.0
2015-01-02 18:00:00,19,4,1,2015,20924.0
2015-01-02 19:00:00,20,4,1,2015,20286.0
2015-01-02 20:00:00,21,4,1,2015,19114.0
2015-01-02 21:00:00,22,4,1,2015,17908.0
2015-01-02 22:00:00,23,4,1,2015,16642.0
2015-01-02 23:00:00,0,5,1,2015,15491.0
2015-01-03 00:00:00,1,5,1,2015,14867.0
2015-01-03 01:00:00,2,5,1,2015,14560.0
2015-01-03 02:00:00,3,5,1,2015,14399.0
2015-01-03 03:00:00,4,5,1,2015,14584.0
2015-01-03 04:00:00,5,5,1,2015,14755.0
2015-01-03 05:00:00,6,5,1,2015,15689.0
2015-01-03 06:00:00,7,5,1,2015,16285.0
2015-01-03 07:00:00,8,5,1,2015,17006.0
2015-01-03 08:00:00,9,5,1,2015,18138.0
2015-01-03 09:00:00,10,5,1,2015,18847.0
2015-01-03 10:00:00,11,5,1,2015,19194.0
2015-01-03 11:00:00,12,5,1,2015,19228.0
2015-01-03 12:00:00,13,5,1,2015,19455.0
2015-01-03 13:00:00,14,5,1,2015,19217.0
2015-01-03 14:00:00,15,5,1,2015,19568.0
