Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Electricity demand [MW]
2015-01-01 00:00:00,0,3,1,2015,5341.0
2015-01-01 01:00:00,1,3,1,2015,5124.0
2015-01-01 02:00:00,2,3,1,2015,4771.0
2015-01-01 03:00:00,3,3,1,2015,4444.0
2015-01-01 04:00:00,4,3,1,2015,4235.0
2015-01-01 05:00:00,5,3,1,2015,4118.0
2015-01-01 06:00:00,6,3,1,2015,4074.0
2015-01-01 07:00:00,7,3,1,2015,3921.0
2015-01-01 08:00:00,8,3,1,2015,3884.0
2015-01-01 09:00:00,9,3,1,2015,4235.0
2015-01-01 10:00:00,10,3,1,2015,4633.0
2015-01-01 11:00:00,11,3,1,2015,4989.0
2015-01-01 12:00:00,12,3,1,2015,5165.0
2015-01-01 13:00:00,13,3,1,2015,4935.0
2015-01-01 14:00:00,14,3,1,2015,4685.0
2015-01-01 15:00:00,15,3,1,2015,4635.0
2015-01-01 16:00:00,16,3,1,2015,4686.0
2015-01-01 17:00:00,17,3,1,2015,5295.0
2015-01-01 18:00:00,18,3,1,2015,6025.0
2015-01-01 19:00:00,19,3,1,2015,6236.0
2015-01-01 20:00:00,20,3,1,2015,6308.0
2015-01-01 21:00:00,21,3,1,2015,6198.0
2015-01-01 22:00:00,22,3,1,2015,5998.0
2015-01-01 23:00:00,23,3,1,2015,5522.0
2015-01-02 00:00:00,0,4,1,2015,5014.0
2015-01-02 01:00:00,1,4,1,2015,4618.0
2015-01-02 02:00:00,2,4,1,2015,4339.0
2015-01-02 03:00:00,3,4,1,2015,4192.0
2015-01-02 04:00:00,4,4,1,2015,4133.0
2015-01-02 05:00:00,5,4,1,2015,4183.0
2015-01-02 06:00:00,6,4,1,2015,4388.0
2015-01-02 07:00:00,7,4,1,2015,4628.0
2015-01-02 08:00:00,8,4,1,2015,5038.0
2015-01-02 09:00:00,9,4,1,2015,5716.0
2015-01-02 10:00:00,10,4,1,2015,6053.0
2015-01-02 11:00:00,11,4,1,2015,6210.0
2015-01-02 12:00:00,12,4,1,2015,6303.0
2015-01-02 13:00:00,13,4,1,2015,6171.0
2015-01-02 14:00:00,14,4,1,2015,6086.0
2015-01-02 15:00:00,15,4,1,2015,5974.0
2015-01-02 16:00:00,16,4,1,2015,5992.0
2015-01-02 17:00:00,17,4,1,2015,6575.0
2015-01-02 18:00:00,18,4,1,2015,7222.0
2015-01-02 19:00:00,19,4,1,2015,7405.0
2015-01-02 20:00:00,20,4,1,2015,7319.0
2015-01-02 21:00:00,21,4,1,2015,7065.0
2015-01-02 22:00:00,22,4,1,2015,6691.0
2015-01-02 23:00:00,23,4,1,2015,6096.0
2015-01-03 00:00:00,0,5,1,2015,5449.0
2015-01-03 01:00:00,1,5,1,2015,4962.0
2015-01-03 02:00:00,2,5,1,2015,4601.0
2015-01-03 03:00:00,3,5,1,2015,4424.0
2015-01-03 04:00:00,4,5,1,2015,4333.0
2015-01-03 05:00:00,5,5,1,2015,4341.0
2015-01-03 06:00:00,6,5,1,2015,4429.0
2015-01-03 07:00:00,7,5,1,2015,4478.0
2015-01-03 08:00:00,8,5,1,2015,4704.0
2015-01-03 09:00:00,9,5,1,2015,5245.0
2015-01-03 10:00:00,10,5,1,2015,5566.0
2015-01-03 11:00:00,11,5,1,2015,5697.0
2015-01-03 12:00:00,12,5,1,2015,5784.0
2015-01-03 13:00:00,13,5,1,2015,5693.0
2015-01-03 14:00:00,14,5,1,2015,5591.0
2015-01-03 15:00:00,15,5,1,2015,5506.0
2015-01-03 16:00:00,16,5,1,2015,5467.0
2015-01-03 17:00:00,17,5,1,2015,6127.0
2015-01-03 18:00:00,18,5,1,2015,6962.0
2015-01-03 19:00:00,19,5,1,2015,7192.0
2015-01-03 20:00:00,20,5,1,2015,7172.0
2015-01-03 21:00:00,21,5,1,2015,6864.0
2015-01-03 22:00:00,22,5,1,2015,6543.0
2015-01-03 23:00:00,23,5,1,2015,6007.0
2015-01-04 00:00:00,0,6,1,2015,5390.0
2015-01-04 01:00:00,1,6,1,2015,4888.0
2015-01-04 02:00:00,2,6,1,2015,4560.0
2015-01-04 03:00:00,3,6,1,2015,4380.0
2015-01-04 04:00:00,4,6,1,2015,4282.0
2015-01-04 05:00:00,5,6,1,2015,4273.0
2015-01-04 06:00:00,6,6,1,2015,4318.0
2015-01-04 07:00:00,7,6,1,2015,4283.0
2015-01-04 08:00:00,8,6,1,2015,4384.0
2015-01-04 09:00:00,9,6,1,2015,4855.0
2015-01-04 10:00:00,10,6,1,2015,5269.0
2015-01-04 11:00:00,11,6,1,2015,5567.0
