Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Temperature (K)
2014-12-31 22:00:00,0,3,1,2015,275.56183
2014-12-31 23:00:00,1,3,1,2015,275.40103
2015-01-01 00:00:00,2,3,1,2015,275.3987
2015-01-01 01:00:00,3,3,1,2015,275.29095
2015-01-01 02:00:00,4,3,1,2015,274.70694
2015-01-01 03:00:00,5,3,1,2015,274.40134
2015-01-01 04:00:00,6,3,1,2015,274.27914
2015-01-01 05:00:00,7,3,1,2015,273.95212
2015-01-01 06:00:00,8,3,1,2015,273.78918
2015-01-01 07:00:00,9,3,1,2015,274.11606
2015-01-01 08:00:00,10,3,1,2015,274.82394
2015-01-01 09:00:00,11,3,1,2015,275.0527
2015-01-01 10:00:00,12,3,1,2015,275.8833
2015-01-01 11:00:00,13,3,1,2015,275.98715
2015-01-01 12:00:00,14,3,1,2015,275.96375
2015-01-01 13:00:00,15,3,1,2015,275.93896
2015-01-01 14:00:00,16,3,1,2015,275.7201
2015-01-01 15:00:00,17,3,1,2015,275.59305
2015-01-01 16:00:00,18,3,1,2015,275.26028
2015-01-01 17:00:00,19,3,1,2015,274.53857
2015-01-01 18:00:00,20,3,1,2015,274.10968
2015-01-01 19:00:00,21,3,1,2015,274.12967
2015-01-01 20:00:00,22,3,1,2015,273.80215
2015-01-01 21:00:00,23,3,1,2015,273.77136
2015-01-01 22:00:00,0,4,1,2015,272.80847
2015-01-01 23:00:00,1,4,1,2015,272.67975
2015-01-02 00:00:00,2,4,1,2015,272.58163
2015-01-02 01:00:00,3,4,1,2015,272.3661
2015-01-02 02:00:00,4,4,1,2015,271.86392
2015-01-02 03:00:00,5,4,1,2015,271.4574
2015-01-02 04:00:00,6,4,1,2015,271.1984
2015-01-02 05:00:00,7,4,1,2015,271.10715
2015-01-02 06:00:00,8,4,1,2015,271.24646
2015-01-02 07:00:00,9,4,1,2015,271.76184
2015-01-02 08:00:00,10,4,1,2015,274.09723
2015-01-02 09:00:00,11,4,1,2015,274.30203
2015-01-02 10:00:00,12,4,1,2015,276.23172
2015-01-02 11:00:00,13,4,1,2015,276.5111
2015-01-02 12:00:00,14,4,1,2015,276.80252
2015-01-02 13:00:00,15,4,1,2015,277.12103
2015-01-02 14:00:00,16,4,1,2015,276.838
2015-01-02 15:00:00,17,4,1,2015,275.87198
2015-01-02 16:00:00,18,4,1,2015,275.32532
2015-01-02 17:00:00,19,4,1,2015,274.3065
2015-01-02 18:00:00,20,4,1,2015,274.18167
