 , ,IEA,IEA.1,IEA.2,CIA,CIA.1,WB,DATAMYSTIC, ,DATAMYSTIC.1,IEA.3, ,Knoema
Matlab - worldmtxmed,,industryfactor (electricity used in industry/electricity demand),% of total electicity generated by nuclear power,% of total electicity generated by hydro power,latitude,longitude,Industry-factor of the GDP,timezone (base=GMT),daylight saving time,timezone max/min (base=UCT),% of total electicity generated by geothermal powerplant,"MENA, World  North_Americas, World  South_Americas, World  Caribbean, South_Americas, World  Central_America, South_Americas, World North_Africa, World East_Africa, World  South_Africa, World  West_Africa, World Central_Africa,World  Europe, World  Eurasia   Rest_of_AsiaxPacific_, World  AsiaxPacific,World  Greater_China, AsiaxPacific, World India, World, AsiaxPacific",Travel and Tourism Total Contribution to GDP % share countries ranking (year 2015)
Code,Name,,,,,,,,,,,,
1,Afghanistan,0.4772727272727273,1,1,33,65,25,4.5,0,4.5,1,"Rest_of_AsiaxPacific_, World",
2,Albania,0.2945544554455446,0,0.9817432273262662,41,20,19.5,1,1,1,0,"Europe, World",21.0639
3,Algeria,0.34693877551020386,0,0.006188610685289275,28,3,61.6,0,0,0,0,"MENA, World  North_Africa, World ",6.5862
4,Andorra,1,1,1,42.2,1.3,-1,1,1,1,1,"Europe, World",
5,Angola,0.41316685584562995,0,0.9006421088205475,-12.3,18.3,65.8,1,0,1,0,"Central_Africa,World",4.31776
6,Antarctica,1,1,1,90,0,,0,0,0,1,-1,
7,Antigua and Barbuda,1,1,1,17.03,-61.48,32.9,-4,0,-4,1,"Caribbean, South_Americas, World",57.0883
8,Area under dispute,1,1,1,-1000,-1000,,,0,,1,-1,
9,Argentina,0.5578148526678259,0.06676389142078352,0.33123258418187973,-34,-64,30.7,-3,0,-3,0,"South_Americas, World",10.7026
10,Armenia,0.1857441374506617,0.444369634741626,0.30718734219828314,40,45,37.7,4,0,4,0,"Eurasia  Rest_of_AsiaxPacific_, World",13.6644
11,Australia,0.28541190802497335,0,0.06368935742413345,-35,133,25.6,9,2,7,0,"xAsiaxPacific__,World",10.8166
12,Austria,0.4113082039911309,0,0.5930871584914573,47.2,13.2,29.5,1,1,1,3.149358318242658e-05,"Europe, World",15.1669
13,Azerbaijan,0.1857441374506617,0,0.10664520774215408,40.3,47.3,62.7,4,1,4,0,"Eurasia  Rest_of_AsiaxPacific_, World",10.452
14,Bahamas. The,1,1,1,24.15,-76,8,-5,0,-5,1,"Caribbean, South_Americas, World",46.9196
15,Bahrain,0.2509687700953395,0,0,26,50.33,63.7,3,0,3,0,"MENA, World  Rest_of_AsiaxPacific_, World",10.572
16,Bangladesh,0.47727272727272735,0,0.057080627928001976,24,90,30.4,6,0,6,0,"Rest_of_AsiaxPacific_, World",4.72059
17,Barbados,1,1,1,13.1,-59.32,13.4,-4,0,-4,1,"Caribbean, South_Americas, World",39.528
18,Belarus,0.489002108222066,0,0.0011002483417685705,53,28,45.9,3,0,3,0,"Europe, World",5.76486
19,Belgium,0.4096385542168674,0.5448100260462292,0.01901491526215588,50.5,4,21.6,1,1,1,0,"Europe, World",6.11899
20,Belize,1,1,1,17.15,-88.45,19.8,-6,0,-6,1,"Central_America, South_Americas, World",38.6377
21,Benin,0.30929117072304135,0,0,9.3,2.15,6.1,1,0,1,0,"West_Africa, World",6.3852
22,Bermuda,1,1,1,32.2,-64.45,8.4,-4,0,-4,1,"North_Americas, World",
23,Bhutan,0.5568181818015027,1,1,27.3,90.3,45.4,5,0,5,1,"Rest_of_AsiaxPacific_, World",
24,Bolivia,0.25695755549076776,0,0.4078972227470244,-17,-65,40,-4,0,-4,0,"South_Americas, World",7.00127
25,Bosnia-Herzegovina,0.2945544554455446,0,0.43885808481942157,44,18,25.8,1,1,1,0,"Europe, World",9.53841
26,Botswana,0.41316685584562995,0,0,-22,24,45,2,0,2,0,"South_Africa, World",11.6243
27,Bouvet Island (uninhabited),1,1,1,54.26,3.24,,,0,,1,-1,
28,Brazil,0.4664999587454088,0.032799395235812726,0.8318011527721141,-10,-55,26.9,-4,2,-3,0,"South_Americas, World",8.95285
29,Brunei,0.23929693027643645,0,0,4.3,114.4,72.3,8,0,8,0,"Rest_of_AsiaxPacific_, World",7.42481
30,Bulgaria,0.34473909324208724,0.4252121370765439,0.09988438801998124,43,25,30.6,2,1,2,0,"Europe, World",12.1306
31,Myanmar,0.3232222774738936,0,0.5392602206359507,22,98,20.5,6.5,0,6.5,0,"Rest_of_AsiaxPacific_, World",5.86662
32,Burundi,0.39053562142485704,1,1,-3.3,30,21.5,3,0,3,1,"East_Africa, World",4.99499
33,Cambodia ,0.3625,0,0.04129554655870445,13,105,30,7,0,7,0,"Rest_of_AsiaxPacific_, World",29.9189
34,Cameroon,0.3641281731169371,0,0.9405665149215984,6,12,31.9,1,0,1,0,"Central_Africa,World",6.8281
35,Canada,0.4097148891235485,0.15991668217449076,0.5803370584759237,60,-95,27.1,-5,2,-4,0,"North_Americas, World",6.37967
36,Cape Verde,0.3022071307300509,1,1,16,24,16,-1,0,-1,1,"West_Africa, World",43.245
37,Central African Republic,0.3641281731169371,1,1,7,21,14.6,1,0,1,1,"Central_Africa,World",6.88745
38,Chad,0.3058252427184466,1,1,15,19,6.7,1,0,1,1,"Central_Africa,World",3.89259
39,Chile,0.7201462661772348,0,0.5950308400660238,-30,-71,41.8,-4,0,-4,0,"South_Americas, World",10.1678
40,China,0.6843979207644294,0.01914772830426883,0.1521490787667359,35,105,46.8,8,0,8,0,"Greater_China, _AsiaxPacific_, World",7.89032
41,Colombia,0.32091672844607777,0,0.7871309920627613,4,-72,38,-5,0,-5,0,"South_Americas, World",6.07003
42,Comoros,0.36221837088388215,1,1,-12.1,44.15,8.6,3,0,3,1,"East_Africa, World",10.3643
43,Congo. Democratic Republic of the (Formerly Zaire),0.4330946098756125,0,0.9969566320060868,0,25,27.6,2,0,2,0,"Central_Africa,World",1.62653
44,Congo. Republic of the,0.3641281731169371,0,0.8211920529801324,-1,15,68.7,1,0,1,0,"Central_Africa,World",4.24321
45,Costa Rica,0.23732718894009217,0,0.7589100942745459,10,-84,26.1,-6,0,-6,0.13968728443320302,"Central_America, South_Americas, World",12.5702
46,Croatia,0.2945544554455446,0,0.4926790024135157,45.1,15.3,24.4,1,1,1,0,"Europe, World",23.2454
47,Crozet Islands (France),1,1,1,-1000,-1000,,,0,,1,-1,
48,Cuba,0.28856372737774355,0,0.005707693241848321,21.3,-80,20.8,-5,0,-5,0,"Caribbean, South_Americas, World",10.0833
49,Cyprus,0.13531669865642995,0,0,35,33,16.4,2,1,2,0,"Europe, World Rest_of_AsiaxPacific_, World",19.3186
50,Czech Republic,0.4656796769851951,0.30874456206066786,0.0386078875309681,49.45,15.3,38.7,1,1,1,0,"Europe, World",7.68822
51,Denmark,0.296551724137931,0,0.000503106133519993,56,10,19.1,1,1,1,0,"Europe, World",6.86084
52,Djibouti,0.4954954954954956,1,1,11.3,43,16.6,3,0,3,1,"East_Africa, World",
53,Dominica,1,1,1,15.25,-61.2,22.4,-4,0,-4,1,"Caribbean, South_Americas, World",39.0492
54,Dominican Republic,0.4260248090035324,0,0.09950530035335689,19,-70.4,27.9,-4,0,-4,0,"Caribbean, South_Americas, World",16.2791
55,Ecuador,0.42,0,0.46274178891341033,-2,-77.3,67.6,-5,0,-5,0,"South_Americas, World",5.11378
56,Egypt,0.4269662921348314,0,0.11199493964837488,27,30,39.5,2,0,2,0,"MENA, World  North_Africa, World ",11.3751
57,El Salvador,0.5303452712845808,0,0.3505449347864928,13.5,-88.55,30.1,-6,0,-6,0.20368054314811507,"Central_America, South_Americas, World",10.6289
58,Equatorial Guinea,0.3641281731169371,1,1,2,10,91.7,1,0,1,1,"Central_Africa,World",
59,Eritrea,0.2726923076923077,0,0,15,39,34,3,0,3,0,"East_Africa, World",
60,Estonia,0.3242009132420091,0,0.0013359366971534272,59,26,29.2,2,1,2,0,"Europe, World",15.4556
61,Ethiopia,0.356858846918489,0,0.996940960538391,8,38,13,3,0,3,0,"East_Africa, World",9.22604
62,Falkland Islands (Islas Malvinas),1,1,1,-51.45,-59,-1,-4,0,-4,1,"South_Americas, World",
63,Federated States of Micronesia,1,1,1,6.55,158.15,15.2,10,0,10,1,"xAsiaxPacific__,World",
64,Fiji,1,1,1,-18,175,24.2,12,0,12,1,"xAsiaxPacific__,World",38.6932
65,Finland,0.4884910485933504,0.2783096811819596,0.13965299377916018,64,26,29.2,2,1,2,0,"Europe, World",6.26317
66,France,0.2774271844660194,0.7836591101757611,0.10637923801466735,46,2,18.5,1,1,1,0,"Europe, World",9.12784
67,French Guiana (France),0.3747717963075704,1,1,4,-53,,-4,0,-4,1,-1,
68,Gabon,0.3641281731169371,0,0.5475086906141368,-1,11.45,53.9,1,0,1,0,"Central_Africa,World",2.66926
69,Gambia. The,0.3022071307300509,1,1,13.28,-16.34,15.1,0,0,0,1,"West_Africa, World",20.2052
70,Georgia,0.1857441374506617,0,0.7293810896116372,42,43.3,29.4,4,0,4,0,"Eurasia Rest_of_AsiaxPacific_, World",23.5061
71,Germany,0.4403348257737979,0.2626872562861105,0.042879510522786414,51,9,28.1,1,1,1,0,"Europe, World",8.93005
72,Ghana,0.30929117072304135,0,0.6666271206548819,8,-2,21,0,0,0,0,"West_Africa, World",7.8198
73,Greece,0.34473909324208724,0,0.10651598150981263,39,22,17.9,2,1,2,0,"Europe, World",18.5006
74,Greenland,1,1,1,64.1,-51.43,29,-3,0,-3,1,"North_Americas, World",
75,Grenada,1,1,1,12.07,-61.4,28.9,-4,0,-4,1,"Caribbean, South_Americas, World",25.5003
76,Guadeloupe (France),1,1,1,,,,-4,0,-4,1,-1,
77,Guam,1,1,1,13.28,144.47,-1,10,0,10,1,"xAsiaxPacific__,World",
78,Guatemala,0.3906820505330802,0,0.48345123799898937,15.3,-90.15,24,-6,0,-6,0,"Central_America, South_Americas, World",8.8756
79,Guinea,0.3022071307300509,1,1,11,-10,53.5,0,0,0,1,"West_Africa, World",4.50242
80,Guinea - Bissau,0.3022071307300509,1,1,12,-15,55.7,-1,0,-1,1,"West_Africa, World",
81,Guyana,0.3747717963075704,1,1,5,-59,30.6,-3,0,-3,1,"South_Americas, World",8.24283
82,Haiti,0.4631268436578171,0,0.47543859649122805,19,-72.25,16,-5,0,-5,0,"Caribbean, South_Americas, World",10.1349
