,Local hour of the day,Local day of the week,Local month of the year,Local year,Temperature (K),Monthly average temperature (K),Monthly average temperature rank,Annual average temperature (K),5 percentile temperature (K),95 percentile temperature (K)
2014-12-31 22:00:00,0,3,1,2015,276.25977,271.60196,12.0,280.24954,270.15253295898435,291.61533203125
2014-12-31 23:00:00,1,3,1,2015,276.33203,271.60196,12.0,280.24954,270.15253295898435,291.61533203125
2015-01-01 00:00:00,2,3,1,2015,276.40283,271.60196,12.0,280.24954,270.15253295898435,291.61533203125
2015-01-01 01:00:00,3,3,1,2015,276.46313,271.60196,12.0,280.24954,270.15253295898435,291.61533203125
2015-01-01 02:00:00,4,3,1,2015,276.05347,271.60196,12.0,280.24954,270.15253295898435,291.61533203125
2015-01-01 03:00:00,5,3,1,2015,275.81763,271.60196,12.0,280.24954,270.15253295898435,291.61533203125
2015-01-01 04:00:00,6,3,1,2015,275.6875,271.60196,12.0,280.24954,270.15253295898435,291.61533203125
2015-01-01 05:00:00,7,3,1,2015,275.59375,271.60196,12.0,280.24954,270.15253295898435,291.61533203125
2015-01-01 06:00:00,8,3,1,2015,275.80835,271.60196,12.0,280.24954,270.15253295898435,291.61533203125
2015-01-01 07:00:00,9,3,1,2015,275.86035,271.60196,12.0,280.24954,270.15253295898435,291.61533203125
2015-01-01 08:00:00,10,3,1,2015,275.66187,271.60196,12.0,280.24954,270.15253295898435,291.61533203125
2015-01-01 09:00:00,11,3,1,2015,275.62866,271.60196,12.0,280.24954,270.15253295898435,291.61533203125
2015-01-01 10:00:00,12,3,1,2015,275.55347,271.60196,12.0,280.24954,270.15253295898435,291.61533203125
2015-01-01 11:00:00,13,3,1,2015,275.3296,271.60196,12.0,280.24954,270.15253295898435,291.61533203125
2015-01-01 12:00:00,14,3,1,2015,275.07593,271.60196,12.0,280.24954,270.15253295898435,291.61533203125
2015-01-01 13:00:00,15,3,1,2015,274.9546,271.60196,12.0,280.24954,270.15253295898435,291.61533203125
2015-01-01 14:00:00,16,3,1,2015,275.0454,271.60196,12.0,280.24954,270.15253295898435,291.61533203125
2015-01-01 15:00:00,17,3,1,2015,275.1599,271.60196,12.0,280.24954,270.15253295898435,291.61533203125
2015-01-01 16:00:00,18,3,1,2015,275.333,271.60196,12.0,280.24954,270.15253295898435,291.61533203125
2015-01-01 17:00:00,19,3,1,2015,275.6355,271.60196,12.0,280.24954,270.15253295898435,291.61533203125
2015-01-01 18:00:00,20,3,1,2015,275.8484,271.60196,12.0,280.24954,270.15253295898435,291.61533203125
2015-01-01 19:00:00,21,3,1,2015,276.2151,271.60196,12.0,280.24954,270.15253295898435,291.61533203125
2015-01-01 20:00:00,22,3,1,2015,276.6277,271.60196,12.0,280.24954,270.15253295898435,291.61533203125
2015-01-01 21:00:00,23,3,1,2015,276.6985,271.60196,12.0,280.24954,270.15253295898435,291.61533203125
2015-01-01 22:00:00,0,4,1,2015,276.86865,271.60196,12.0,280.24954,270.15253295898435,291.61533203125
2015-01-01 23:00:00,1,4,1,2015,276.83398,271.60196,12.0,280.24954,270.15253295898435,291.61533203125
2015-01-02 00:00:00,2,4,1,2015,276.78882,271.60196,12.0,280.24954,270.15253295898435,291.61533203125
2015-01-02 01:00:00,3,4,1,2015,276.77783,271.60196,12.0,280.24954,270.15253295898435,291.61533203125
2015-01-02 02:00:00,4,4,1,2015,276.52783,271.60196,12.0,280.24954,270.15253295898435,291.61533203125
2015-01-02 03:00:00,5,4,1,2015,276.41113,271.60196,12.0,280.24954,270.15253295898435,291.61533203125
