,Local hour of the day,Local day of the week,Local month of the year,Local year,Temperature (K),Monthly average temperature (K),Monthly average temperature rank,Annual average temperature (K),5 percentile temperature (K),95 percentile temperature (K)
2014-12-31 23:00:00,0,3,1,2015,272.92383,277.36484,11.0,285.2566,274.4532928466797,297.79620361328125
2015-01-01 00:00:00,1,3,1,2015,272.17627,277.36484,11.0,285.2566,274.4532928466797,297.79620361328125
2015-01-01 01:00:00,2,3,1,2015,271.7367,277.36484,11.0,285.2566,274.4532928466797,297.79620361328125
2015-01-01 02:00:00,3,3,1,2015,271.58478,277.36484,11.0,285.2566,274.4532928466797,297.79620361328125
2015-01-01 03:00:00,4,3,1,2015,270.34863,277.36484,11.0,285.2566,274.4532928466797,297.79620361328125
2015-01-01 04:00:00,5,3,1,2015,269.7051,277.36484,11.0,285.2566,274.4532928466797,297.79620361328125
2015-01-01 05:00:00,6,3,1,2015,270.15244,277.36484,11.0,285.2566,274.4532928466797,297.79620361328125
2015-01-01 06:00:00,7,3,1,2015,269.93134,277.36484,11.0,285.2566,274.4532928466797,297.79620361328125
2015-01-01 07:00:00,8,3,1,2015,269.75494,277.36484,11.0,285.2566,274.4532928466797,297.79620361328125
2015-01-01 08:00:00,9,3,1,2015,269.88837,277.36484,11.0,285.2566,274.4532928466797,297.79620361328125
2015-01-01 09:00:00,10,3,1,2015,271.51733,277.36484,11.0,285.2566,274.4532928466797,297.79620361328125
2015-01-01 10:00:00,11,3,1,2015,273.12158,277.36484,11.0,285.2566,274.4532928466797,297.79620361328125
2015-01-01 11:00:00,12,3,1,2015,274.31006,277.36484,11.0,285.2566,274.4532928466797,297.79620361328125
2015-01-01 12:00:00,13,3,1,2015,275.50366,277.36484,11.0,285.2566,274.4532928466797,297.79620361328125
2015-01-01 13:00:00,14,3,1,2015,276.24365,277.36484,11.0,285.2566,274.4532928466797,297.79620361328125
2015-01-01 14:00:00,15,3,1,2015,276.5708,277.36484,11.0,285.2566,274.4532928466797,297.79620361328125
2015-01-01 15:00:00,16,3,1,2015,276.2202,277.36484,11.0,285.2566,274.4532928466797,297.79620361328125
2015-01-01 16:00:00,17,3,1,2015,275.1394,277.36484,11.0,285.2566,274.4532928466797,297.79620361328125
2015-01-01 17:00:00,18,3,1,2015,274.70947,277.36484,11.0,285.2566,274.4532928466797,297.79620361328125
2015-01-01 18:00:00,19,3,1,2015,274.42627,277.36484,11.0,285.2566,274.4532928466797,297.79620361328125
