,Local hour of the day,Local day of the week,Local month of the year,Local year,Temperature (K),Monthly average temperature (K),Monthly average temperature rank,Annual average temperature (K),5 percentile temperature (K),95 percentile temperature (K)
2014-12-31 23:00:00,0,3,1,2015,272.0704,278.1238,12.0,287.89056,274.98056640625,302.851123046875
2015-01-01 00:00:00,1,3,1,2015,271.813,278.1238,12.0,287.89056,274.98056640625,302.851123046875
2015-01-01 01:00:00,2,3,1,2015,271.4281,278.1238,12.0,287.89056,274.98056640625,302.851123046875
2015-01-01 02:00:00,3,3,1,2015,271.23712,278.1238,12.0,287.89056,274.98056640625,302.851123046875
2015-01-01 03:00:00,4,3,1,2015,271.18475,278.1238,12.0,287.89056,274.98056640625,302.851123046875
2015-01-01 04:00:00,5,3,1,2015,270.99026,278.1238,12.0,287.89056,274.98056640625,302.851123046875
2015-01-01 05:00:00,6,3,1,2015,270.33994,278.1238,12.0,287.89056,274.98056640625,302.851123046875
2015-01-01 06:00:00,7,3,1,2015,270.2243,278.1238,12.0,287.89056,274.98056640625,302.851123046875
2015-01-01 07:00:00,8,3,1,2015,270.17682,278.1238,12.0,287.89056,274.98056640625,302.851123046875
2015-01-01 08:00:00,9,3,1,2015,270.85907,278.1238,12.0,287.89056,274.98056640625,302.851123046875
2015-01-01 09:00:00,10,3,1,2015,272.32397,278.1238,12.0,287.89056,274.98056640625,302.851123046875
2015-01-01 10:00:00,11,3,1,2015,274.86768,278.1238,12.0,287.89056,274.98056640625,302.851123046875
2015-01-01 11:00:00,12,3,1,2015,276.21826,278.1238,12.0,287.89056,274.98056640625,302.851123046875
2015-01-01 12:00:00,13,3,1,2015,277.33765,278.1238,12.0,287.89056,274.98056640625,302.851123046875
2015-01-01 13:00:00,14,3,1,2015,278.18896,278.1238,12.0,287.89056,274.98056640625,302.851123046875
2015-01-01 14:00:00,15,3,1,2015,278.3462,278.1238,12.0,287.89056,274.98056640625,302.851123046875
2015-01-01 15:00:00,16,3,1,2015,277.01123,278.1238,12.0,287.89056,274.98056640625,302.851123046875
2015-01-01 16:00:00,17,3,1,2015,274.0183,278.1238,12.0,287.89056,274.98056640625,302.851123046875
2015-01-01 17:00:00,18,3,1,2015,272.47705,278.1238,12.0,287.89056,274.98056640625,302.851123046875
2015-01-01 18:00:00,19,3,1,2015,272.3911,278.1238,12.0,287.89056,274.98056640625,302.851123046875
2015-01-01 19:00:00,20,3,1,2015,272.0686,278.1238,12.0,287.89056,274.98056640625,302.851123046875
2015-01-01 20:00:00,21,3,1,2015,271.73706,278.1238,12.0,287.89056,274.98056640625,302.851123046875
