,Local hour of the day,Local day of the week,Local month of the year,Local year,Temperature (K),Monthly average temperature (K),Monthly average temperature rank,Annual average temperature (K),5 percentile temperature (K),95 percentile temperature (K)
2014-12-31 22:00:00,0,3,1,2015,273.15625,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2014-12-31 23:00:00,1,3,1,2015,273.03906,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-01 00:00:00,2,3,1,2015,272.98682,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-01 01:00:00,3,3,1,2015,272.98682,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-01 02:00:00,4,3,1,2015,273.43628,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-01 03:00:00,5,3,1,2015,273.50122,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-01 04:00:00,6,3,1,2015,273.58203,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-01 05:00:00,7,3,1,2015,274.03528,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-01 06:00:00,8,3,1,2015,274.20874,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-01 07:00:00,9,3,1,2015,274.4054,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-01 08:00:00,10,3,1,2015,274.95093,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-01 09:00:00,11,3,1,2015,274.8651,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-01 10:00:00,12,3,1,2015,275.0534,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-01 11:00:00,13,3,1,2015,275.0504,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-01 12:00:00,14,3,1,2015,275.0819,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-01 13:00:00,15,3,1,2015,275.02502,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-01 14:00:00,16,3,1,2015,275.16663,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-01 15:00:00,17,3,1,2015,275.12463,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-01 16:00:00,18,3,1,2015,275.11218,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-01 17:00:00,19,3,1,2015,275.2428,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-01 18:00:00,20,3,1,2015,275.29956,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-01 19:00:00,21,3,1,2015,275.57263,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-01 20:00:00,22,3,1,2015,275.93823,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-01 21:00:00,23,3,1,2015,275.91333,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-01 22:00:00,0,4,1,2015,275.66345,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-01 23:00:00,1,4,1,2015,275.49414,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-02 00:00:00,2,4,1,2015,275.2107,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-02 01:00:00,3,4,1,2015,274.9867,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-02 02:00:00,4,4,1,2015,274.4165,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-02 03:00:00,5,4,1,2015,274.333,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-02 04:00:00,6,4,1,2015,274.32324,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-02 05:00:00,7,4,1,2015,274.07617,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-02 06:00:00,8,4,1,2015,274.2467,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-02 07:00:00,9,4,1,2015,274.2621,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-02 08:00:00,10,4,1,2015,274.36145,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
2015-01-02 09:00:00,11,4,1,2015,274.29846,272.11978,12.0,281.2775,270.44715576171876,295.202392578125
