,Local hour of the day,Local day of the week,Local month of the year,Local year,Temperature (K),Monthly average temperature (K),Monthly average temperature rank,Annual average temperature (K),5 percentile temperature (K),95 percentile temperature (K)
2014-12-31 23:00:00,0,3,1,2015,276.8457,277.87094,11.0,284.24405,275.834912109375,293.4989990234375
2015-01-01 00:00:00,1,3,1,2015,276.61182,277.87094,11.0,284.24405,275.834912109375,293.4989990234375
2015-01-01 01:00:00,2,3,1,2015,276.49072,277.87094,11.0,284.24405,275.834912109375,293.4989990234375
2015-01-01 02:00:00,3,3,1,2015,276.3894,277.87094,11.0,284.24405,275.834912109375,293.4989990234375
2015-01-01 03:00:00,4,3,1,2015,276.31567,277.87094,11.0,284.24405,275.834912109375,293.4989990234375
2015-01-01 04:00:00,5,3,1,2015,275.9961,277.87094,11.0,284.24405,275.834912109375,293.4989990234375
2015-01-01 05:00:00,6,3,1,2015,275.79883,277.87094,11.0,284.24405,275.834912109375,293.4989990234375
2015-01-01 06:00:00,7,3,1,2015,275.85522,277.87094,11.0,284.24405,275.834912109375,293.4989990234375
2015-01-01 07:00:00,8,3,1,2015,275.85254,277.87094,11.0,284.24405,275.834912109375,293.4989990234375
2015-01-01 08:00:00,9,3,1,2015,275.87085,277.87094,11.0,284.24405,275.834912109375,293.4989990234375
2015-01-01 09:00:00,10,3,1,2015,276.1521,277.87094,11.0,284.24405,275.834912109375,293.4989990234375
2015-01-01 10:00:00,11,3,1,2015,276.68042,277.87094,11.0,284.24405,275.834912109375,293.4989990234375
2015-01-01 11:00:00,12,3,1,2015,277.47412,277.87094,11.0,284.24405,275.834912109375,293.4989990234375
2015-01-01 12:00:00,13,3,1,2015,277.91772,277.87094,11.0,284.24405,275.834912109375,293.4989990234375
2015-01-01 13:00:00,14,3,1,2015,278.12646,277.87094,11.0,284.24405,275.834912109375,293.4989990234375
2015-01-01 14:00:00,15,3,1,2015,278.00635,277.87094,11.0,284.24405,275.834912109375,293.4989990234375
2015-01-01 15:00:00,16,3,1,2015,278.1443,277.87094,11.0,284.24405,275.834912109375,293.4989990234375
2015-01-01 16:00:00,17,3,1,2015,277.97754,277.87094,11.0,284.24405,275.834912109375,293.4989990234375
2015-01-01 17:00:00,18,3,1,2015,277.96167,277.87094,11.0,284.24405,275.834912109375,293.4989990234375
2015-01-01 18:00:00,19,3,1,2015,278.09253,277.87094,11.0,284.24405,275.834912109375,293.4989990234375
