,Local hour of the day,Local day of the week,Local month of the year,Local year,Temperature (K),Monthly average temperature (K),Monthly average temperature rank,Annual average temperature (K),5 percentile temperature (K),95 percentile temperature (K)
2014-12-31 23:00:00,0,3,1,2015,256.13876,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-01 00:00:00,1,3,1,2015,256.0161,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-01 01:00:00,2,3,1,2015,256.25232,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-01 02:00:00,3,3,1,2015,256.2508,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-01 03:00:00,4,3,1,2015,256.7785,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-01 04:00:00,5,3,1,2015,257.5977,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-01 05:00:00,6,3,1,2015,257.17,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-01 06:00:00,7,3,1,2015,257.11298,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-01 07:00:00,8,3,1,2015,257.24518,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-01 08:00:00,9,3,1,2015,260.0915,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-01 09:00:00,10,3,1,2015,261.44513,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-01 10:00:00,11,3,1,2015,264.43213,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-01 11:00:00,12,3,1,2015,264.8081,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-01 12:00:00,13,3,1,2015,265.26147,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-01 13:00:00,14,3,1,2015,265.50537,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-01 14:00:00,15,3,1,2015,264.6958,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-01 15:00:00,16,3,1,2015,266.71436,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-01 16:00:00,17,3,1,2015,267.05347,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-01 17:00:00,18,3,1,2015,266.49084,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-01 18:00:00,19,3,1,2015,266.19214,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-01 19:00:00,20,3,1,2015,264.83237,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-01 20:00:00,21,3,1,2015,264.573,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-01 21:00:00,22,3,1,2015,265.0422,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-01 22:00:00,23,3,1,2015,265.185,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-01 23:00:00,0,4,1,2015,265.52933,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-02 00:00:00,1,4,1,2015,265.81232,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-02 01:00:00,2,4,1,2015,267.01993,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-02 02:00:00,3,4,1,2015,267.37347,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-02 03:00:00,4,4,1,2015,267.17093,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-02 04:00:00,5,4,1,2015,267.65134,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-02 05:00:00,6,4,1,2015,269.18356,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-02 06:00:00,7,4,1,2015,270.00842,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-02 07:00:00,8,4,1,2015,269.26205,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-02 08:00:00,9,4,1,2015,270.3711,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-02 09:00:00,10,4,1,2015,270.39404,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-02 10:00:00,11,4,1,2015,271.80615,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-02 11:00:00,12,4,1,2015,271.60376,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-02 12:00:00,13,4,1,2015,271.93555,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-02 13:00:00,14,4,1,2015,272.08545,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-02 14:00:00,15,4,1,2015,271.65552,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-02 15:00:00,16,4,1,2015,270.9182,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-02 16:00:00,17,4,1,2015,271.0432,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-02 17:00:00,18,4,1,2015,270.86768,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-02 18:00:00,19,4,1,2015,271.16626,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-02 19:00:00,20,4,1,2015,270.68848,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-02 20:00:00,21,4,1,2015,269.87915,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-02 21:00:00,22,4,1,2015,270.09595,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-02 22:00:00,23,4,1,2015,271.385,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-02 23:00:00,0,5,1,2015,271.4126,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-03 00:00:00,1,5,1,2015,271.44214,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-03 01:00:00,2,5,1,2015,271.8003,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-03 02:00:00,3,5,1,2015,272.1045,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-03 03:00:00,4,5,1,2015,271.83838,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-03 04:00:00,5,5,1,2015,271.3811,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-03 05:00:00,6,5,1,2015,271.81323,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-03 06:00:00,7,5,1,2015,272.0298,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-03 07:00:00,8,5,1,2015,271.76123,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-03 08:00:00,9,5,1,2015,272.01172,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-03 09:00:00,10,5,1,2015,272.40552,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-03 10:00:00,11,5,1,2015,277.1399,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-03 11:00:00,12,5,1,2015,277.61597,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-03 12:00:00,13,5,1,2015,278.07153,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-03 13:00:00,14,5,1,2015,278.10938,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-03 14:00:00,15,5,1,2015,277.27344,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-03 15:00:00,16,5,1,2015,276.05615,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-03 16:00:00,17,5,1,2015,275.11108,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-03 17:00:00,18,5,1,2015,274.21094,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-03 18:00:00,19,5,1,2015,274.51733,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-03 19:00:00,20,5,1,2015,274.37378,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-03 20:00:00,21,5,1,2015,275.22363,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-03 21:00:00,22,5,1,2015,275.31152,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-03 22:00:00,23,5,1,2015,275.32642,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-03 23:00:00,0,6,1,2015,275.0901,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-04 00:00:00,1,6,1,2015,274.8755,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-04 01:00:00,2,6,1,2015,274.02466,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-04 02:00:00,3,6,1,2015,273.38477,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-04 03:00:00,4,6,1,2015,274.03345,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-04 04:00:00,5,6,1,2015,273.93774,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-04 05:00:00,6,6,1,2015,274.56274,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-04 06:00:00,7,6,1,2015,274.79395,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-04 07:00:00,8,6,1,2015,275.0481,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-04 08:00:00,9,6,1,2015,275.55737,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-04 09:00:00,10,6,1,2015,275.6577,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-04 10:00:00,11,6,1,2015,277.2522,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-04 11:00:00,12,6,1,2015,277.8557,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-04 12:00:00,13,6,1,2015,277.53735,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-04 13:00:00,14,6,1,2015,277.92798,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-04 14:00:00,15,6,1,2015,277.3772,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-04 15:00:00,16,6,1,2015,277.3733,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-04 16:00:00,17,6,1,2015,277.36597,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-04 17:00:00,18,6,1,2015,276.85547,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-04 18:00:00,19,6,1,2015,276.21387,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-04 19:00:00,20,6,1,2015,276.08984,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-04 20:00:00,21,6,1,2015,275.79785,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-04 21:00:00,22,6,1,2015,275.8274,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-04 22:00:00,23,6,1,2015,275.00586,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-04 23:00:00,0,0,1,2015,274.8745,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-05 00:00:00,1,0,1,2015,274.72412,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-05 01:00:00,2,0,1,2015,274.82617,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-05 02:00:00,3,0,1,2015,273.9292,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-05 03:00:00,4,0,1,2015,273.8152,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-05 04:00:00,5,0,1,2015,273.86377,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-05 05:00:00,6,0,1,2015,273.4065,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-05 06:00:00,7,0,1,2015,273.56982,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-05 07:00:00,8,0,1,2015,273.72974,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-05 08:00:00,9,0,1,2015,274.31396,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-05 09:00:00,10,0,1,2015,274.71875,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-05 10:00:00,11,0,1,2015,275.91943,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-05 11:00:00,12,0,1,2015,275.89355,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-05 12:00:00,13,0,1,2015,275.90308,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-05 13:00:00,14,0,1,2015,276.04907,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-05 14:00:00,15,0,1,2015,275.5088,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-05 15:00:00,16,0,1,2015,275.38086,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-05 16:00:00,17,0,1,2015,274.7793,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-05 17:00:00,18,0,1,2015,273.2727,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-05 18:00:00,19,0,1,2015,273.5786,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-05 19:00:00,20,0,1,2015,274.08105,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-05 20:00:00,21,0,1,2015,274.10303,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-05 21:00:00,22,0,1,2015,274.31616,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-05 22:00:00,23,0,1,2015,274.31934,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-05 23:00:00,0,1,1,2015,274.36646,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-06 00:00:00,1,1,1,2015,274.12445,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-06 01:00:00,2,1,1,2015,273.90265,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-06 02:00:00,3,1,1,2015,272.77417,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-06 03:00:00,4,1,1,2015,272.63745,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-06 04:00:00,5,1,1,2015,272.52563,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-06 05:00:00,6,1,1,2015,272.43726,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-06 06:00:00,7,1,1,2015,272.03894,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
2015-01-06 07:00:00,8,1,1,2015,271.7649,276.1209,12.0,286.66968,273.4385498046875,303.63365478515624
