Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Temperature (K)
2014-12-31 23:00:00,0,3,1,2015,272.73523
2015-01-01 00:00:00,1,3,1,2015,271.97662
2015-01-01 01:00:00,2,3,1,2015,271.38232
2015-01-01 02:00:00,3,3,1,2015,271.1295
2015-01-01 03:00:00,4,3,1,2015,270.25357
2015-01-01 04:00:00,5,3,1,2015,270.0111
2015-01-01 05:00:00,6,3,1,2015,270.2785
2015-01-01 06:00:00,7,3,1,2015,270.057
2015-01-01 07:00:00,8,3,1,2015,269.9954
2015-01-01 08:00:00,9,3,1,2015,270.10538
2015-01-01 09:00:00,10,3,1,2015,271.684
2015-01-01 10:00:00,11,3,1,2015,273.34338
2015-01-01 11:00:00,12,3,1,2015,274.51645
2015-01-01 12:00:00,13,3,1,2015,275.633
2015-01-01 13:00:00,14,3,1,2015,276.31723
2015-01-01 14:00:00,15,3,1,2015,276.53043
2015-01-01 15:00:00,16,3,1,2015,276.19287
2015-01-01 16:00:00,17,3,1,2015,275.1754
2015-01-01 17:00:00,18,3,1,2015,274.7572
2015-01-01 18:00:00,19,3,1,2015,274.44168
2015-01-01 19:00:00,20,3,1,2015,274.23572
2015-01-01 20:00:00,21,3,1,2015,274.08557
2015-01-01 21:00:00,22,3,1,2015,274.14963
2015-01-01 22:00:00,23,3,1,2015,274.48233
2015-01-01 23:00:00,0,4,1,2015,274.67642
2015-01-02 00:00:00,1,4,1,2015,274.9097
2015-01-02 01:00:00,2,4,1,2015,275.16953
2015-01-02 02:00:00,3,4,1,2015,275.59335
2015-01-02 03:00:00,4,4,1,2015,275.87576
2015-01-02 04:00:00,5,4,1,2015,276.51462
2015-01-02 05:00:00,6,4,1,2015,276.9789
2015-01-02 06:00:00,7,4,1,2015,277.49203
2015-01-02 07:00:00,8,4,1,2015,277.95663
2015-01-02 08:00:00,9,4,1,2015,278.5907
2015-01-02 09:00:00,10,4,1,2015,279.2098
2015-01-02 10:00:00,11,4,1,2015,279.75363
